,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
79,django-admin-tools,django-admin-tools/django-admin-tools,django-admin-tools,[],admin-interface,https://github.com/django-admin-tools/django-admin-tools,https://github.com/django-admin-tools/django-admin-tools,2015-06-20 11:09:46,2023-08-10 12:40:54,2023-08-10 12:40:07,570.0,,113.0,25.0,49.0,18.0,61.0,815,,,,Extends the Django Admin to include a extensible dashboard and navigation menu.,1435.0,1435.0,82.0,https://pypi.org/project/django-admin-tools,54187.0,54187.0,23,True,3,MIT,,,,,
80,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,2020-02-12 10:59:54,2024-02-01 00:09:27,2024-01-31 21:39:27,294.0,22.0,27.0,7.0,101.0,3.0,23.0,434,2023-12-05 22:52:25,0.11.0,21.0,config and manage typed extra settings using just the django admin.,71.0,71.0,12.0,https://pypi.org/project/django-extra-settings,7886.0,7886.0,23,True,3,MIT,,,,,
81,django-mailbox,coddingtonbear/django-mailbox,django-mailbox,[],emails,https://github.com/coddingtonbear/django-mailbox,https://github.com/coddingtonbear/django-mailbox,2012-06-27 15:58:50,2023-12-27 13:17:46,2023-12-27 13:17:46,527.0,22.0,153.0,22.0,124.0,20.0,132.0,339,,,,"Import mail from POP3, IMAP, local email mailboxes or directly from Postfix or Exim4 into your Django application..",172.0,172.0,49.0,https://pypi.org/project/django-mailbox,5036.0,5036.0,23,True,3,MIT,,,,,
82,django-browser-reload,adamchainz/django-browser-reload,django-browser-reload,[],development,https://github.com/adamchainz/django-browser-reload,https://github.com/adamchainz/django-browser-reload,2021-12-14 23:01:24,2024-01-30 13:08:13,2024-01-30 13:08:12,262.0,16.0,20.0,5.0,208.0,14.0,20.0,420,,,,Automatically reload your browser in development.,2974.0,2974.0,6.0,https://pypi.org/project/django-browser-reload,72984.0,72984.0,22,True,1,MIT,,,,,
83,django-slack,lamby/django-slack,django-slack,[],messaging,https://github.com/lamby/django-slack,https://github.com/lamby/django-slack,2014-12-10 20:34:18,2023-03-02 08:08:32,2023-03-02 08:07:43,272.0,,55.0,8.0,53.0,9.0,54.0,237,,,,"Slack integration for Django, using the templating engine to generate messages.",364.0,364.0,28.0,https://pypi.org/project/django-slack,61760.0,61760.0,22,True,1,BSD-3-Clause,,,,,
84,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,2013-10-30 03:15:55,2024-01-29 17:33:45,2024-01-09 09:08:48,355.0,2.0,71.0,11.0,140.0,11.0,34.0,230,2023-03-23 15:57:13,3.1.1,11.0,Automatic logging for Django FSM.,137.0,137.0,26.0,https://pypi.org/project/django-fsm-log,38280.0,38280.0,22,True,2,MIT,,,,,
85,django-bootstrap-v5,zelenij/django-bootstrap-v5,django-bootstrap-v5,[],mvt-css-framework-integration,https://github.com/zelenij/django-bootstrap-v5,https://github.com/zelenij/django-bootstrap-v5,2020-12-10 11:47:38,2024-01-07 14:31:06,2024-01-07 14:31:05,937.0,1.0,41.0,4.0,11.0,8.0,15.0,100,,,,Bootstrap 5 integration with Django.,6977.0,6977.0,138.0,https://pypi.org/project/django-bootstrap-v5,131424.0,131424.0,22,True,3,BSD-3-Clause,,,,,
86,django-ninja-jwt,eadwinCode/django-ninja-jwt,django-ninja-jwt,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,2021-10-24 07:51:40,2024-01-06 10:52:30,2024-01-06 10:50:18,668.0,11.0,14.0,6.0,44.0,5.0,10.0,97,2024-01-06 10:52:31,5.3.0,18.0,A JSON Web Token authentication plugin for the Django REST Framework.,116.0,116.0,81.0,https://pypi.org/project/django-ninja-jwt,15576.0,15576.0,22,True,2,MIT,,,,,
87,pinax-stripe-light,pinax/pinax-stripe-light,pinax-stripe-light,[],payment-subscriptions,https://github.com/pinax/pinax-stripe-light,https://github.com/pinax/pinax-stripe-light,2012-08-18 15:39:19,2022-08-18 20:07:37,2021-11-28 01:59:11,1502.0,,270.0,32.0,348.0,68.0,229.0,677,2021-11-28 02:09:03,5.0.0,9.0,a payments Django app for Stripe.,,,72.0,https://pypi.org/project/pinax-stripe-light,318.0,318.0,21,True,2,MIT,,,,,
88,django-getpaid,django-getpaid/django-getpaid,django-getpaid,[],payment-subscriptions,https://github.com/django-getpaid/django-getpaid,https://github.com/django-getpaid/django-getpaid,2012-07-15 15:11:34,2021-12-12 18:31:41,2021-12-12 18:31:33,405.0,,106.0,21.0,93.0,3.0,58.0,437,2020-04-19 09:05:46,2.0.0,6.0,Django payments processor.,46.0,46.0,30.0,https://pypi.org/project/django-getpaid,487.0,487.0,21,True,2,MIT,,,,,
