,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,gitlab_id,gitlab_url
41,django-jet,geex-arts/django-jet,django-jet,[],admin-interface,https://github.com/geex-arts/django-jet,https://github.com/geex-arts/django-jet,AGPL-3.0,2015-07-29 21:35:35,2022-12-06 19:59:16,2019-05-21 10:57:50,891.0,,661.0,116.0,177.0,218.0,124.0,3400.0,2018-10-18 06:39:57,1.0.8,23.0,Modern responsive template for the Django admin interface with improved functionality. We are proud to announce..,2903.0,2903.0,29.0,https://pypi.org/project/django-jet,16367.0,16367.0,26,True,3,,,,
42,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,BSD-3-Clause,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402.0,,947.0,170.0,500.0,86.0,292.0,2960.0,,,,A Django based shop system.,207.0,207.0,96.0,https://pypi.org/project/django-shop,5990.0,5990.0,26,True,3,,,,
43,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2023-02-28 17:44:09,2023-02-28 17:44:08,1032.0,21.0,751.0,42.0,611.0,161.0,452.0,2355.0,,,,https://django-storages.readthedocs.io/.,,,240.0,https://pypi.org/project/django-storages,2151435.0,2151435.0,26,True,1,,,,
44,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,,2016-08-03 22:34:19,2023-02-07 10:42:47,2023-02-07 10:41:15,339.0,12.0,366.0,45.0,240.0,66.0,287.0,1305.0,2022-10-19 13:41:57,2.4.0,13.0,Celery Periodic Tasks backed by the Django ORM.,,,105.0,https://pypi.org/project/django-celery-beat,1106039.0,1106039.0,26,True,3,,,,
45,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2023-02-25 12:56:08,2023-02-25 12:54:30,287.0,29.0,73.0,12.0,269.0,22.0,93.0,651.0,2023-02-25 12:56:09,1.10.2,13.0,Object factory for Django.,2631.0,2631.0,43.0,https://pypi.org/project/model_bakery,329337.0,329337.0,26,True,1,,,,
46,model-bakery,model-bakers/model_bakery,model-bakery/,[],fake-data,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2023-02-25 12:56:08,2023-02-25 12:54:30,287.0,29.0,73.0,12.0,269.0,22.0,93.0,651.0,2023-02-25 12:56:09,1.10.2,13.0,Object factory for Django.,2629.0,2629.0,43.0,https://pypi.org/project/model-bakery/,329337.0,329337.0,26,True,1,,,,
47,django-admin-sortable2,jrief/django-admin-sortable2,django-admin-sortable2,[],admin-interface-actions,https://github.com/jrief/django-admin-sortable2,https://github.com/jrief/django-admin-sortable2,MIT,2013-07-07 21:26:56,2022-12-09 04:33:12,2022-10-14 15:13:31,723.0,,161.0,18.0,142.0,35.0,160.0,577.0,2022-08-08 20:38:50,2.1,8.0,Generic drag-and-drop ordering for objects in the Django admin interface.,1774.0,1774.0,77.0,https://pypi.org/project/django-admin-sortable2,170352.0,170352.0,26,True,2,,,,
48,eventsourcing,pyeventsourcing/eventsourcing,eventsourcing,[],event-sourcing,https://github.com/pyeventsourcing/eventsourcing,https://github.com/pyeventsourcing/eventsourcing,BSD-3-Clause,2015-08-25 13:35:28,2023-02-19 04:10:30,2023-02-19 04:10:22,4681.0,13.0,123.0,33.0,178.0,1.0,77.0,1220.0,,,,A library for event sourcing in Python.,126.0,126.0,23.0,https://pypi.org/project/eventsourcing,15301.0,15301.0,25,True,1,,,,
49,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2023-02-02 15:59:30,2023-01-16 16:35:02,1198.0,7.0,302.0,38.0,556.0,136.0,356.0,1150.0,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,137.0,https://pypi.org/project/pytest-django,2121386.0,2121386.0,25,True,2,,,,
50,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2023-02-15 06:50:29,2023-02-15 06:50:29,481.0,5.0,126.0,20.0,170.0,41.0,144.0,978.0,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2574.0,2574.0,64.0,https://pypi.org/project/django-configurations,126567.0,126567.0,25,True,3,,,,
