,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
42,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,2020-02-12 10:59:54,2022-12-18 00:05:00,2022-12-17 08:54:56,154.0,44.0,16,4.0,29.0,1.0,19.0,273,2022-12-13 22:59:21,0.7.0,15.0,config and manage typed extra settings using just the django admin.,33.0,33.0,9.0,https://pypi.org/project/django-extra-settings,5059,5059,21,True,3,MIT,,,,,
43,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,2020-01-15 16:36:01,2022-06-17 09:46:13,2022-06-17 09:46:13,276.0,,80,20.0,56.0,58.0,44.0,301,,,,Django registration and authentication with GraphQL.,517.0,517.0,16.0,https://pypi.org/project/django-graphql-auth,10854,10854,20,True,3,MIT,,,,,
44,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,17,7.0,22.0,9.0,8.0,214,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,205.0,205.0,11.0,https://pypi.org/project/django-click,31764,31764,19,True,3,MIT,,,,,
45,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,2015-05-25 18:10:29,2022-06-10 11:11:15,2019-05-10 16:41:45,129.0,,46,6.0,16.0,9.0,6.0,178,,,,Fernet symmetric encryption for Django model fields.,509.0,509.0,9.0,https://pypi.org/project/django-fernet-fields,60864,60864,19,True,1,BSD-3-Clause,,,True,,
46,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,2015-05-23 16:08:52,2022-12-07 02:01:00,2022-10-08 04:18:12,456.0,3.0,55,11.0,140.0,5.0,44.0,545,,,,Useful additions to Djangos default TestCase.,,,30.0,https://pypi.org/project/django-test-plus,35726,35726,18,True,3,BSD-3-Clause,,,,,
47,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,,46,9.0,176.0,6.0,60.0,394,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,22834,22834,18,True,1,MIT,,,,,
48,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,2016-03-02 07:55:01,2022-11-07 16:53:42,2022-05-25 05:52:12,140.0,,53,15.0,24.0,34.0,31.0,295,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,3.0,https://pypi.org/project/django-cryptography,61998,61998,18,True,2,BSD-3-Clause,,,True,,
49,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,1.0,76,29.0,66.0,17.0,20.0,189,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,282.0,282.0,32.0,https://pypi.org/project/django-fsm-admin,35882,35882,18,True,3,,,,,,
50,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13,15.0,13.0,,12.0,85,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",52.0,52.0,9.0,https://pypi.org/project/django-mirage-field,9544,9544,17,True,2,MIT,,,True,,
51,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,2016-01-28 21:43:35,2022-11-23 10:11:37,2022-04-25 09:05:39,43.0,,32,12.0,10.0,3.0,8.0,371,,,,Keep track of your statistics.,22.0,22.0,6.0,https://pypi.org/project/django-trackstats,737,737,15,True,1,MIT,,,,,
52,django-cryptographic-fields,foundertherapy/django-cryptographic-fields,django-cryptographic-fields,[],encrpyted-fields,https://github.com/foundertherapy/django-cryptographic-fields,https://github.com/foundertherapy/django-cryptographic-fields,2015-04-29 22:49:48,2021-11-10 12:49:34,2016-09-27 23:25:27,34.0,,25,12.0,16.0,9.0,2.0,26,2016-09-23 16:28:37,0.5.0,3.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,16.0,16.0,8.0,https://pypi.org/project/django-cryptographic-fields,2986,2986,15,False,3,MIT,,,True,,
53,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,20,2.0,8.0,1.0,4.0,110,,,,Offline optimistic locking for Django.,12.0,12.0,4.0,https://pypi.org/project/django-optimistic-lock,3499,3499,12,True,3,BSD-2-Clause,,,,,
54,django-encrypted-model-fields,,django-encrypted-model-fields,[],encrpyted-fields,,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields,2018-06-05 14:35:48,2018-06-05 14:35:48,,,,23,,,6.0,20.0,31,,,4.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,,,,https://pypi.org/project/django-encrypted-model-fields,46941,46941,10,True,3,,,,True,lansharkconsulting/django/django-encrypted-model-fields,https://gitlab.com/lansharkconsulting/django/django-encrypted-model-fields
55,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,2021-06-11 15:38:15,2022-12-19 19:05:09,2022-10-25 09:06:16,93.0,5.0,2,2.0,88.0,,4.0,4,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3.0,https://pypi.org/project/django-fsm-freeze,402,402,10,False,3,MIT,,,,,
56,django-locking,debrouwere/django-locking,django-locking,[],concurrent-data-access,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21.0,,13,5.0,9.0,,,137,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3.0,https://pypi.org/project/django-locking,27,27,8,False,3,,,,,,
57,django-searchable-encrypted-fields,,django-searchable-encrypted-fields,[],encrpyted-fields,,https://gitlab.com/guywillett/django-searchable-encrypted-fields,2019-04-09 15:14:16,2019-04-09 15:14:16,,,,2,,,4.0,14.0,7,,,4.0,,,,,https://pypi.org/project/django-searchable-encrypted-fields,31893,31893,6,False,3,,,,True,guywillett/django-searchable-encrypted-fields,https://gitlab.com/guywillett/django-searchable-encrypted-fields
