,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2022-12-16 12:51:14,2022-12-06 08:55:30,8841.0,24.0,1950,267.0,2579.0,139.0,1300.0,5566,2021-07-29 04:15:39,3.1,4.0,Domain-driven e-commerce for Django.,942.0,942.0,335.0,https://pypi.org/project/django-oscar,18132,18132,35,True,1,BSD-3-Clause,,,,,
11,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,2010-05-31 15:32:25,2022-11-21 15:02:05,2022-11-12 14:44:37,1490.0,11.0,445,57.0,301.0,15.0,614.0,2812,2022-11-12 14:45:12,5.0.4,8.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,6597.0,6597.0,185.0,https://pypi.org/project/django-reversion,220966,220966,35,True,1,BSD-3-Clause,,True,,,
12,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,2011-03-06 22:42:19,2022-12-22 17:01:17,2022-12-09 22:08:34,1152.0,42.0,388,38.0,590.0,106.0,387.0,1740,2022-09-28 13:53:24,3.2.0,33.0,Store model history and view/revert changes from admin site.,3399.0,3399.0,168.0,https://pypi.org/project/django-simple-history,675806,675806,35,True,1,BSD-3-Clause,,True,,,
13,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,2016-09-17 23:26:25,2022-12-22 11:25:00,2022-11-22 22:16:14,888.0,16.0,693,72.0,554.0,137.0,626.0,3991,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,9023.0,9023.0,201.0,https://pypi.org/project/graphene-django,323769,323769,34,True,2,MIT,,,,,
14,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,2013-04-02 13:50:07,2022-12-22 17:03:26,2022-06-15 09:59:27,517.0,,276,36.0,217.0,58.0,154.0,2671,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,111956.0,111956.0,76.0,https://pypi.org/project/django-environ,1138326,1138326,34,True,1,MIT,7.0,,,,
15,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,2020-05-19 08:48:53,2022-12-22 12:58:14,2022-12-19 12:36:53,738.0,38.0,234,61.0,175.0,137.0,278.0,3778,2022-12-17 15:27:31,0.20.0,26.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",914.0,914.0,70.0,https://pypi.org/project/django-ninja,64885,64885,32,True,3,MIT,,,,,
16,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,2018-12-21 08:56:55,2022-12-21 18:06:44,2022-12-20 16:03:25,2502.0,173.0,339,43.0,1734.0,229.0,380.0,2818,2022-12-20 16:03:48,0.151.1,100.0,A GraphQL library for Python that leverages type annotations.,874.0,874.0,167.0,https://pypi.org/project/strawberry,328,391,32,True,2,MIT,380.0,,,,
17,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,2012-05-15 10:21:58,2022-11-19 11:25:44,2022-11-19 09:20:48,578.0,10.0,253,28.0,258.0,72.0,233.0,1596,2022-11-05 02:02:30,2.6.0,7.0,A simple app that provides django integration for RQ (Redis Queue).,2172.0,2172.0,110.0,https://pypi.org/project/django-rq,157686,157686,32,True,3,MIT,,,,,
18,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,2013-02-12 16:46:39,2022-12-21 14:35:23,2022-12-21 13:02:59,20119.0,172.0,4709,388.0,7151.0,328.0,3040.0,17680,2022-12-21 11:07:46,3.9.7,100.0,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",2.0,2.0,259.0,https://pypi.org/project/saleor,23,23,31,True,2,BSD-3-Clause,,,,,
19,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,2020-05-11 19:50:44,2022-12-14 19:06:24,2022-11-03 13:11:18,1029.0,20.0,184,33.0,245.0,75.0,137.0,1175,2022-11-03 13:23:16,2.6.0,28.0,Jazzy theme for Django.,2633.0,2633.0,61.0,https://pypi.org/project/django-jazzmin,64168,64168,31,True,1,MIT,,,,,
20,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,2015-06-14 12:37:08,2022-12-09 05:54:42,2021-06-26 12:04:16,1246.0,,216,55.0,307.0,259.0,145.0,1656,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,1085.0,1085.0,62.0,https://pypi.org/project/django-q,73491,73491,30,True,3,MIT,,,,,
21,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,2010-09-20 12:42:29,2022-12-01 10:58:35,2022-10-13 17:16:31,623.0,3.0,278,33.0,247.0,30.0,229.0,1516,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1222.0,1222.0,137.0,https://pypi.org/project/django-constance,174675,174675,30,True,2,BSD-3-Clause,,,,,
22,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,2015-10-26 14:46:36,2022-12-22 08:32:39,2022-12-22 08:32:38,661.0,115.0,136,32.0,79.0,10.0,142.0,1278,2022-12-19 14:36:57,0.24.2,49.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",2282.0,2282.0,31.0,https://pypi.org/project/django-admin-interface,55643,55643,30,True,3,MIT,,,,,
23,django-dbbackup,jazzband/django-dbbackup,django-dbbackup,[],management-commands,https://github.com/jazzband/django-dbbackup,https://github.com/jazzband/django-dbbackup,2014-12-29 02:39:34,2022-12-19 18:49:27,2022-12-12 10:26:16,471.0,7.0,177,21.0,213.0,55.0,205.0,682,2022-09-27 23:25:03,4.0.2,3.0,Management commands to help backup and restore your project database and media files.,1162.0,1162.0,64.0,https://pypi.org/project/django-dbbackup,61598,61598,30,True,3,BSD-3-Clause,,,1.0,,
24,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,2010-05-31 14:03:48,2022-10-21 04:39:31,2022-08-15 10:45:43,336.0,,254,43.0,140.0,18.0,135.0,2106,2022-03-25 12:30:10,2.8.0,4.0,Django friendly finite state machine support.,1196.0,1196.0,64.0,https://pypi.org/project/django-fsm,218838,218838,29,True,1,MIT,,,,,
25,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,2010-03-26 12:25:59,2022-11-22 14:09:40,2022-11-22 14:03:04,1875.0,5.0,634,95.0,317.0,5.0,685.0,3371,,,,A jazzy skin for the Django Admin-Interface (official repository).,5189.0,5189.0,82.0,https://pypi.org/project/django-grappelli,144929,144929,28,True,3,,,,,,
26,django-guardian,django-guardian/django-guardian,django-guardian,[],authorization,https://github.com/django-guardian/django-guardian,https://github.com/django-guardian/django-guardian,2010-06-04 23:15:37,2022-10-02 18:27:44,2022-03-25 21:42:47,1062.0,,527,85.0,348.0,121.0,321.0,3307,,,,Per object permissions for Django.,5170.0,5170.0,159.0,https://pypi.org/project/django-guardian,360750,360750,28,True,1,,,,,,
27,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],others,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,2011-08-31 17:52:05,2022-12-06 08:06:55,2022-12-06 08:03:10,546.0,3.0,285,23.0,342.0,6.0,193.0,1311,2022-12-06 08:08:13,7.0.1,7.0,A django model and form field for normalised phone numbers using python-phonenumbers.,,,109.0,https://pypi.org/project/django-phonenumber-field,551121,551121,27,True,1,MIT,6.0,True,,,
28,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,2017-11-05 15:29:56,2022-12-09 05:55:42,2021-08-11 20:56:04,541.0,,141,20.0,95.0,46.0,168.0,781,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,3280.0,3280.0,23.0,https://pypi.org/project/django-graphql-jwt,108450,108450,27,True,3,MIT,,,,,
29,mezzanine,stephenmcd/mezzanine,mezzanine,[],cms-framework,https://github.com/stephenmcd/mezzanine,https://github.com/stephenmcd/mezzanine,2010-05-29 12:16:55,2022-11-02 08:25:54,2022-11-02 08:25:54,5304.0,1.0,1544,256.0,978.0,38.0,1008.0,4552,2022-05-12 12:48:08,6.0.0,9.0,CMS framework for Django.,,,326.0,https://pypi.org/project/mezzanine,2722,2722,26,True,3,BSD-2-Clause,,,,,
30,django-shop,awesto/django-shop,django-shop,[],ecommerce-framework,https://github.com/awesto/django-shop,https://github.com/awesto/django-shop,2010-11-19 11:15:48,2022-04-08 09:00:09,2021-02-28 18:04:57,5402.0,,943,171.0,500.0,84.0,292.0,2926,,,,A Django based shop system.,206.0,206.0,96.0,https://pypi.org/project/django-shop,6238,6238,26,True,3,BSD-3-Clause,,,,,
31,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,2016-08-03 22:34:19,2022-12-22 09:34:42,2022-12-19 18:10:04,335.0,26.0,360,47.0,236.0,62.0,285.0,1271,2022-10-19 13:41:57,2.4.0,13.0,Celery Periodic Tasks backed by the Django ORM.,,,103.0,https://pypi.org/project/django-celery-beat,770947,770947,26,True,3,,,,,,
32,django-cas-ng,django-cas-ng/django-cas-ng,django-cas-ng,[],authentication,https://github.com/django-cas-ng/django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,2014-05-23 22:52:34,2022-11-18 17:19:04,2022-11-18 17:19:04,636.0,15.0,155,19.0,179.0,2.0,147.0,347,2022-01-09 02:06:44,4.3.0,26.0,"Django CAS 1.0/2.0/3.0 client authentication library, support Django 2.0, 2.1, 2.2, 3.0 and Python 3.5+.",378.0,378.0,83.0,https://pypi.org/project/django-cas-ng,14383,14387,26,True,3,MIT,441.0,,,,
33,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,2020-10-30 17:12:01,2022-12-20 02:30:20,2022-11-24 14:21:17,317.0,76.0,47,13.0,95.0,55.0,68.0,219,2022-11-16 22:56:41,0.8.2,14.0,Strawberry GraphQL Django extension.,119.0,119.0,38.0,https://pypi.org/project/strawberry-graphql-django,25209,25209,26,True,3,MIT,,,,,
34,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,2011-05-11 08:26:59,2022-12-07 15:28:28,2022-12-07 15:28:28,958.0,12.0,349,41.0,460.0,159.0,375.0,3008,,,,A test fixtures replacement for Python.,,,126.0,https://pypi.org/project/factory_boy,2271018,2271018,25,True,1,MIT,,,,,
35,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2022-12-08 08:17:15,2021-08-18 22:32:03,7104.0,,960,118.0,2190.0,142.0,291.0,1965,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,115.0,115.0,67.0,https://pypi.org/project/shuup,1257,1269,25,True,3,,500.0,,,,
36,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,2011-09-29 19:35:55,2022-12-16 15:48:27,2022-11-08 21:00:46,1191.0,4.0,302,36.0,551.0,135.0,354.0,1124,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,137.0,https://pypi.org/project/pytest-django,1773826,1773826,25,True,1,,,,,,
37,django-configurations,jazzband/django-configurations,django-configurations,[],configuration,https://github.com/jazzband/django-configurations,https://github.com/jazzband/django-configurations,2012-07-21 13:56:20,2022-11-04 17:52:34,2022-11-04 17:52:34,476.0,1.0,125,20.0,166.0,38.0,141.0,951,2022-09-01 09:46:30,2.4,7.0,A helper for organizing Django project settings by relying on well established programming patterns.,2438.0,2438.0,63.0,https://pypi.org/project/django-configurations,95213,95213,25,True,3,BSD-3-Clause,,,-1.0,,
38,django-waffle,django-waffle/django-waffle,django-waffle,[],feature-flipper,https://github.com/django-waffle/django-waffle,https://github.com/django-waffle/django-waffle,2011-01-23 17:42:09,2022-12-02 00:48:17,2022-10-02 01:30:04,425.0,5.0,228,23.0,285.0,35.0,160.0,949,2022-08-30 17:26:52,3.0.0,22.0,A feature flipper for Django.,,,115.0,https://pypi.org/project/django-waffle,251900,251900,25,True,1,BSD-3-Clause,,,,,
39,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,2019-11-21 14:10:42,2022-12-19 15:09:44,2022-12-19 15:09:44,342.0,20.0,24,9.0,277.0,8.0,46.0,380,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",315.0,315.0,17.0,https://pypi.org/project/django-test-migrations,72662,72662,25,True,1,MIT,,,,,
40,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,2012-02-02 02:38:49,2022-12-13 21:31:27,2022-11-29 20:45:14,725.0,22.0,183,35.0,92.0,16.0,130.0,1050,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,46.0,https://pypi.org/project/django-organizations,24974,24974,24,True,3,BSD-2-Clause,,,,,
41,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,2013-05-17 06:04:30,2022-09-27 13:25:56,2022-09-27 12:51:22,456.0,1.0,58,20.0,404.0,4.0,38.0,936,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,1278.0,1278.0,20.0,https://pypi.org/project/django-split-settings,79025,79025,24,True,3,BSD-3-Clause,,,,,
42,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,2013-09-10 10:16:35,2022-12-07 17:38:11,2022-12-02 13:29:47,858.0,1.0,365,105.0,86.0,23.0,252.0,2295,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,244.0,244.0,31.0,https://pypi.org/project/viewflow,56,56,23,True,2,AGPL-3.0,,,,,
43,django-address,furious-luke/django-address,django-address,[],fields-addresses,https://github.com/furious-luke/django-address,https://github.com/furious-luke/django-address,2011-04-16 01:58:58,2022-08-11 15:37:13,2022-05-05 01:23:36,216.0,,147,19.0,63.0,37.0,84.0,378,2022-05-06 20:00:17,0.2.8,7.0,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,333.0,333.0,22.0,https://pypi.org/project/django-address,11252,11252,23,True,1,BSD-3-Clause,,True,,,
44,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,2013-10-30 03:15:55,2022-12-20 07:18:44,2022-12-20 07:18:40,298.0,8.0,66,8.0,107.0,9.0,31.0,199,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,109.0,109.0,26.0,https://pypi.org/project/django-fsm-log,27149,27149,23,True,2,MIT,,,,,
45,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,2019-10-08 12:49:08,2022-12-16 19:02:21,2022-12-12 13:40:57,269.0,28.0,72,12.0,258.0,20.0,93.0,624,2022-10-24 06:11:08,1.9.0,10.0,Object factory for Django.,,,42.0,https://pypi.org/project/model_bakery,301044,301044,21,True,3,,,,,,
46,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,2019-12-20 10:25:27,2022-12-09 10:41:13,2022-12-09 10:40:59,186.0,10.0,16,8.0,71.0,1.0,19.0,299,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",55.0,55.0,8.0,https://pypi.org/project/django-guid,40907,40907,21,True,1,BSD-3-Clause,,,,,
47,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,2020-01-15 16:36:01,2022-06-17 09:46:13,2022-06-17 09:46:13,276.0,,80,20.0,56.0,58.0,44.0,301,,,,Django registration and authentication with GraphQL.,517.0,517.0,16.0,https://pypi.org/project/django-graphql-auth,11582,11582,20,True,3,MIT,,,,,
48,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,2020-02-12 10:59:54,2022-12-22 08:32:22,2022-12-22 08:32:22,155.0,37.0,16,4.0,30.0,1.0,19.0,273,2022-12-13 22:59:21,0.7.0,15.0,config and manage typed extra settings using just the django admin.,34.0,34.0,9.0,https://pypi.org/project/django-extra-settings,5267,5267,20,True,3,MIT,,,-1.0,,
49,djantic,jordaneremieff/djantic,djantic,[],restful-api,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,2020-08-02 12:06:11,2022-12-09 05:57:03,2022-08-25 12:03:51,113.0,,25,5.0,29.0,8.0,27.0,316,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,39.0,39.0,4.0,https://pypi.org/project/djantic,4388,4388,19,True,3,MIT,,,,,
50,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,17,7.0,22.0,9.0,8.0,215,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,205.0,205.0,11.0,https://pypi.org/project/django-click,33951,33951,19,True,3,MIT,,,,,
51,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,2015-05-25 18:10:29,2022-06-10 11:11:15,2019-05-10 16:41:45,129.0,,46,6.0,16.0,9.0,6.0,178,,,,Fernet symmetric encryption for Django model fields.,509.0,509.0,9.0,https://pypi.org/project/django-fernet-fields,67332,67332,19,True,1,BSD-3-Clause,,,,,
52,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,2015-05-23 16:08:52,2022-12-07 02:01:00,2022-10-08 04:18:12,456.0,3.0,55,11.0,140.0,5.0,44.0,545,,,,Useful additions to Djangos default TestCase.,,,30.0,https://pypi.org/project/django-test-plus,38372,38372,18,True,3,BSD-3-Clause,,,,,
53,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,,46,9.0,176.0,6.0,60.0,394,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,24279,24279,18,True,1,MIT,,,,,
54,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,2016-03-02 07:55:01,2022-11-07 16:53:42,2022-05-25 05:52:12,140.0,,53,15.0,24.0,34.0,31.0,297,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,3.0,https://pypi.org/project/django-cryptography,65815,65815,18,True,2,BSD-3-Clause,,,,,
55,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,1.0,76,29.0,66.0,17.0,20.0,189,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,282.0,282.0,32.0,https://pypi.org/project/django-fsm-admin,37488,37488,18,True,3,,,,,,
56,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],others,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,14,4.0,4.0,3.0,11.0,48,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,2375.0,2375.0,4.0,https://pypi.org/project/django-phone-field,12679,12679,18,True,3,GPL-3.0,,True,,,
57,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13,15.0,13.0,,12.0,85,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",52.0,52.0,9.0,https://pypi.org/project/django-mirage-field,10068,10068,17,True,2,MIT,,,,,
58,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,2016-01-28 21:43:35,2022-11-23 10:11:37,2022-04-25 09:05:39,43.0,,32,12.0,10.0,3.0,8.0,372,,,,Keep track of your statistics.,22.0,22.0,6.0,https://pypi.org/project/django-trackstats,743,743,15,True,1,MIT,,,,,
