,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,updated_github_id,gitlab_id,gitlab_url
10,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2024-05-10 08:32:04,2024-04-27 16:13:05,3624.0,1.0,1117.0,103.0,984.0,167.0,724.0,6452.0,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,222225.0,222225.0,577.0,https://pypi.org/project/django-extensions,3920909.0,3920909.0,37,True,1.0,,,,,,
11,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2024-05-27 08:45:27,2024-05-15 12:20:24,9054.0,22.0,2133.0,267.0,2806.0,84.0,1406.0,6116.0,2024-02-08 09:51:53,3.2.4,8.0,Domain-driven e-commerce for Django.,1097.0,1097.0,364.0,https://pypi.org/project/django-oscar,23344.0,23344.0,37,True,1.0,,,,,,
12,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2024-05-29 19:16:05,2024-05-29 19:07:29,1360.0,43.0,441.0,44.0,777.0,128.0,442.0,2109.0,2024-05-29 19:16:05,3.7.0,38.0,Store model history and view/revert changes from admin site.,5341.0,5341.0,182.0,https://pypi.org/project/django-simple-history,1232701.0,1232701.0,37,True,1.0,,1.0,,,,
13,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-05-20 00:09:33,2024-05-16 08:17:46,1759.0,4.0,800.0,143.0,551.0,111.0,877.0,7999.0,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,21413.0,21413.0,207.0,https://pypi.org/project/graphene,7837444.0,7837444.0,36,True,1.0,,,,,,
14,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,BSD-3-Clause,2014-12-09 00:37:09,2024-05-29 20:54:04,2024-05-29 20:54:03,1124.0,29.0,796.0,41.0,718.0,100.0,588.0,2657.0,,,,https://django-storages.readthedocs.io/.,179741.0,179741.0,265.0,https://pypi.org/project/django-storages,3525216.0,3525216.0,36,True,1.0,,,,,,
15,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2024-05-03 16:30:50,2024-01-30 20:02:26,1533.0,,459.0,56.0,317.0,14.0,636.0,2986.0,2024-01-30 20:04:19,5.0.12,16.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,7422.0,7422.0,192.0,https://pypi.org/project/django-reversion,445537.0,445537.0,35,True,2.0,,,,,,
16,transitions,pytransitions/transitions,transitions,[],finite-state-machine,https://github.com/pytransitions/transitions,https://github.com/pytransitions/transitions,MIT,2014-10-12 20:59:09,2024-05-28 08:18:52,2024-05-28 08:18:52,1076.0,53.0,508.0,92.0,200.0,10.0,445.0,5437.0,2024-05-14 12:10:22,0.9.1,31.0,"A lightweight, object-oriented finite state machine implementation in Python with many extensions.",3473.0,3473.0,78.0,https://pypi.org/project/transitions,606495.0,606495.0,34,True,1.0,,,True,,,
17,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2024-05-17 05:44:12,2024-04-18 04:00:31,966.0,7.0,739.0,70.0,627.0,140.0,678.0,4240.0,2024-04-09 00:38:17,3.2.1,51.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",14769.0,14769.0,222.0,https://pypi.org/project/graphene-django,522276.0,522276.0,34,True,2.0,,,,,,
18,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,MIT,2020-05-11 19:50:44,2024-05-21 08:01:34,2024-04-22 19:19:26,1088.0,56.0,265.0,37.0,298.0,101.0,160.0,1505.0,2024-04-18 19:19:14,2.6.2,31.0,Jazzy theme for Django.,10335.0,10335.0,66.0,https://pypi.org/project/django-jazzmin,189687.0,189687.0,34,True,1.0,,,,,,
19,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,,2011-09-29 19:35:55,2024-04-25 09:23:56,2024-01-31 10:49:52,1263.0,,329.0,40.0,600.0,145.0,378.0,1320.0,2024-01-30 13:15:21,4.8.0,22.0,A Django plugin for pytest.,75811.0,75811.0,145.0,https://pypi.org/project/pytest-django,3753014.0,3753014.0,34,True,1.0,,,,,,
20,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2024-02-26 21:11:34,2023-09-01 19:02:16,636.0,,305.0,34.0,281.0,62.0,181.0,2947.0,2023-09-01 21:08:14,0.11.2,19.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,224146.0,224146.0,93.0,https://pypi.org/project/django-environ,2627092.0,2627092.0,33,True,1.0,80.0,,,,,
21,whitenoise,evansd/whitenoise,whitenoise,[],static-file-serving,https://github.com/evansd/whitenoise,https://github.com/evansd/whitenoise,MIT,2013-08-08 11:02:06,2024-05-30 16:42:16,2024-05-30 16:42:10,814.0,29.0,138.0,24.0,344.0,27.0,213.0,2456.0,,,,Radically simplified static file serving for Python web apps.,434649.0,434649.0,64.0,https://pypi.org/project/whitenoise,2936564.0,2936564.0,33,True,1.0,,,,,,
