,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,github_release_downloads,new_addition,gitlab_id,gitlab_url
116,django-allauth-2fa,valohai/django-allauth-2fa,django-allauth-2fa,[],authentication-authorization,https://github.com/valohai/django-allauth-2fa,https://github.com/valohai/django-allauth-2fa,,2015-04-04 12:31:29,2025-01-27 19:37:44,2025-01-16 06:47:14,395.0,2.0,49.0,12.0,130.0,13.0,61.0,218,2025-01-16 06:52:15,0.12.0,4.0,Two-factor authentication for Django Allauth.,237.0,237.0,32.0,https://pypi.org/project/django-allauth-2fa,52614.0,52614.0,22,True,3.0,,,28.0,,,
117,django-minio-storage,py-pa/django-minio-storage,django-minio-storage,[],storage,https://github.com/py-pa/django-minio-storage,https://github.com/py-pa/django-minio-storage,MIT,2016-07-11 10:36:18,2024-03-25 08:58:28,2023-12-19 06:54:50,227.0,,54.0,7.0,59.0,12.0,71.0,155,2023-08-30 20:53:31,0.5.7,8.0,A django storage driver for minio.,320.0,320.0,18.0,https://pypi.org/project/django-minio-storage,20397.0,20397.0,22,True,3.0,,,,,,
118,librephotos,LibrePhotos/librephotos,,[],photo-management-framework,https://github.com/LibrePhotos/librephotos,https://github.com/LibrePhotos/librephotos,MIT,2020-11-11 23:08:19,2025-01-30 09:04:43,2025-01-30 09:03:55,2160.0,51.0,316.0,60.0,630.0,272.0,612.0,7108,,,,A self-hosted open source photo management service. This is the repository of the backend.,,,76.0,,,,21,True,1.0,,,,,,
119,Gerapy,Gerapy/Gerapy,,[],crawler-management-system,https://github.com/Gerapy/Gerapy,https://github.com/Gerapy/Gerapy,MIT,2017-06-30 03:58:27,2024-10-29 22:08:29,2024-09-07 00:49:42,631.0,,638.0,125.0,100.0,65.0,150.0,3378,2023-07-19 18:55:56,0.9.13,16.0,"Distributed Crawler Management Framework Based on Scrapy, Scrapyd, Django and Vue.js.",147.0,147.0,17.0,,,,21,True,1.0,,,,,,
120,pinax-stripe-light,pinax/pinax-stripe-light,pinax-stripe-light,[],payment-subscriptions,https://github.com/pinax/pinax-stripe-light,https://github.com/pinax/pinax-stripe-light,MIT,2012-08-18 15:39:19,2022-08-18 20:07:37,2021-11-28 01:59:11,1502.0,,269.0,32.0,348.0,68.0,229.0,689,2021-11-28 02:09:03,5.0.0,9.0,a payments Django app for Stripe.,,,72.0,https://pypi.org/project/pinax-stripe-light,620.0,620.0,21,True,2.0,,,,,,
121,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,MIT,2020-02-12 10:59:54,2025-01-27 17:11:48,2025-01-11 13:51:41,326.0,2.0,30.0,8.0,134.0,3.0,34.0,567,2024-02-27 11:38:23,0.12.0,22.0,config and manage typed extra settings using just the django admin.,101.0,101.0,12.0,https://pypi.org/project/django-extra-settings,20008.0,20008.0,21,True,3.0,,,,,,
122,django-autofixture,gregmuellegger/django-autofixture,django-autofixture,[],example-data,https://github.com/gregmuellegger/django-autofixture,https://github.com/gregmuellegger/django-autofixture,BSD-3-Clause,2010-08-24 18:39:29,2024-06-22 18:12:25,2017-03-03 07:13:17,343.0,,88.0,15.0,64.0,19.0,37.0,461,,,,Can create auto-generated test data.,867.0,867.0,34.0,https://pypi.org/project/django-autofixture,2367.0,2367.0,21,False,2.0,,,,,,
123,django-dynamic-fixture,paulocheque/django-dynamic-fixture,django-dynamic-fixture,[],fake-data,https://github.com/paulocheque/django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,,2012-04-04 22:54:41,2024-10-10 11:01:49,2024-10-10 11:01:49,437.0,,62.0,19.0,95.0,6.0,64.0,389,,,,A complete library to create dynamic model instances for testing purposes.,1237.0,1237.0,37.0,https://pypi.org/project/django-dynamic-fixture,60145.0,60145.0,21,True,3.0,,,,,,
124,django-google-maps,madisona/django-google-maps,django-google-maps,[],fields-addresses,https://github.com/madisona/django-google-maps,https://github.com/madisona/django-google-maps,BSD-2-Clause,2010-12-31 14:47:45,2024-03-03 01:07:44,2022-03-22 11:44:40,82.0,,95.0,19.0,46.0,12.0,35.0,282,2022-03-22 11:47:01,0.13.0,3.0,Using the Google Maps API with django model admin.,685.0,685.0,19.0,https://pypi.org/project/django-google-maps,11983.0,11983.0,21,True,3.0,,,,,,
125,django-tailwind-cli,oliverandrich/django-tailwind-cli,django-tailwind-cli,[],mvt-tailwind-css-framework-integration,https://github.com/django-commons/django-tailwind-cli,https://github.com/django-commons/django-tailwind-cli,MIT,2022-10-23 16:09:40,2025-01-28 15:31:48,2025-01-28 15:31:46,460.0,22.0,14.0,6.0,117.0,3.0,24.0,116,2024-12-07 18:48:53,2.21.1,11.0,Django and Tailwind integration based on the prebuilt Tailwind CSS CLI.,49.0,49.0,13.0,https://pypi.org/project/django-tailwind-cli,7808.0,7816.0,21,True,3.0,,django-commons/django-tailwind-cli,25.0,,,
