,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,new_addition,gitlab_id,gitlab_url
125,django-audit-log,vvangelovski/django-audit-log,django-audit-log,[],fields-versioning,https://github.com/vvangelovski/django-audit-log,https://github.com/vvangelovski/django-audit-log,,2011-02-25 12:40:16,2024-01-05 17:57:30,2018-03-12 09:11:28,102.0,,83.0,8.0,30.0,27.0,16.0,231,2015-01-23 12:59:33,0.6.0,2.0,Audit log for your Django models.,247.0,247.0,10.0,https://pypi.org/project/django-audit-log,2693.0,2693.0,17,False,3,,,,,,
126,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,MIT,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13.0,15.0,13.0,1.0,12.0,91,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",78.0,78.0,9.0,https://pypi.org/project/django-mirage-field,11418.0,11418.0,17,True,2,,,,,,
127,silver,silverapp/silver,silver,[],payment-subscriptions,https://github.com/silverapp/silver,https://github.com/silverapp/silver,,2014-10-07 11:39:38,2024-01-30 11:48:01,2024-01-30 11:45:50,1850.0,,74.0,22.0,309.0,50.0,337.0,297,,,,Automated billing and payments for Django with a REST API.,8.0,8.0,24.0,https://pypi.org/project/silver,47.0,47.0,16,True,2,,,,,,
128,django-flexible-subscriptions,studybuffalo/django-flexible-subscriptions,django-flexible-subscriptions,[],payment-subscriptions,https://github.com/studybuffalo/django-flexible-subscriptions,https://github.com/studybuffalo/django-flexible-subscriptions,GPL-3.0,2018-11-26 05:05:05,2023-11-30 23:40:43,2020-09-11 20:55:19,197.0,,48.0,4.0,267.0,27.0,23.0,240,,,,A subscription and recurrent billing application for Django.,25.0,25.0,14.0,https://pypi.org/project/django-flexible-subscriptions,1110.0,1110.0,16,True,2,,,,,,
129,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,,11.0,8.0,8.0,3.0,14.0,112,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,239.0,239.0,5.0,https://pypi.org/project/django-fieldsignals,15815.0,15815.0,16,True,3,,,,,,
130,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2023-08-04 12:56:33,2023-08-04 12:55:59,62.0,,38.0,13.0,13.0,3.0,8.0,440,,,,Keep track of your statistics.,24.0,24.0,9.0,https://pypi.org/project/django-trackstats,1961.0,1961.0,15,True,1,,,,,,
131,django-scopes,raphaelm/django-scopes,django-scopes,[],multiple-tenants,https://github.com/raphaelm/django-scopes,https://github.com/raphaelm/django-scopes,Apache-2.0,2019-05-10 11:27:07,2023-07-17 06:51:20,2023-06-12 08:26:02,42.0,,15.0,11.0,16.0,12.0,6.0,216,,,,Safely separate multiple tenants in a Django database.,80.0,80.0,6.0,https://pypi.org/project/django-scopes,4958.0,4958.0,15,True,3,,,,,,
132,django-prbac,dimagi/django-prbac,django-prbac,[],authentication-authorization,https://github.com/dimagi/django-prbac,https://github.com/dimagi/django-prbac,,2013-10-17 18:31:58,2023-12-13 21:26:13,2023-12-13 21:26:10,194.0,,37.0,40.0,55.0,3.0,17.0,137,2020-03-06 22:55:21,0.0.8,1.0,,12.0,12.0,23.0,https://pypi.org/project/django-prbac,4948.0,4948.0,15,False,3,,,,,,
133,django-admin-confirm,trangpham/django-admin-confirm,django-admin-confirm,[],admin-interface-actions,https://github.com/TrangPham/django-admin-confirm,https://github.com/TrangPham/django-admin-confirm,,2020-11-08 18:56:53,2024-04-02 14:14:44,2024-01-27 19:22:43,70.0,,13.0,4.0,27.0,9.0,18.0,123,2022-07-08 03:39:24,1.0.0,8.0,"AdminConfirmMixin is a mixin for ModelAdmin that adds confirmations to changes, additions and actions.",32.0,32.0,6.0,https://pypi.org/project/django-admin-confirm,22102.0,22102.0,15,True,3,,,,,,
134,dj-paypal,HearthSim/dj-paypal,dj-paypal,[],payment-subscriptions,https://github.com/HearthSim/dj-paypal,https://github.com/HearthSim/dj-paypal,MIT,2017-08-18 11:25:15,2024-02-29 17:10:37,2024-02-29 17:10:34,262.0,6.0,19.0,13.0,8.0,4.0,5.0,86,2018-12-18 16:40:35,0.11.1,4.0,Paypal integration for Django - Inspired by dj-Stripe.,25.0,25.0,3.0,https://pypi.org/project/dj-paypal,368.0,368.0,15,True,3,,,,,,
135,django-subscriptions,kogan/django-subscriptions,django-subscriptions,[],payment-subscriptions,https://github.com/kogan/django-subscriptions,https://github.com/kogan/django-subscriptions,BSD-3-Clause,2019-04-13 01:10:21,2023-10-20 04:01:27,2020-12-29 04:52:03,45.0,,9.0,21.0,16.0,,4.0,73,2020-12-29 04:56:47,2.1.1,11.0,A django package for managing subscription states.,13.0,13.0,2.0,https://pypi.org/project/django-subscriptions,1809.0,1809.0,15,True,3,,,,,,
136,django-bitcoin,kangasbros/django-bitcoin,django-bitcoin,[],payment-subscriptions,https://github.com/kangasbros/django-bitcoin,https://github.com/kangasbros/django-bitcoin,MIT,2011-07-08 14:04:32,2014-09-15 06:46:34,2014-09-15 06:46:33,462.0,,96.0,32.0,25.0,11.0,7.0,179,,,,bitcoin payment management for django.,15.0,15.0,18.0,https://pypi.org/project/django-bitcoin,17.0,17.0,14,False,3,,,,,,
