,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,gitlab_id,gitlab_url
93,django-sendsms,stefanfoulis/django-sendsms,django-sendsms,[],messaging,https://github.com/stefanfoulis/django-sendsms,https://github.com/stefanfoulis/django-sendsms,MIT,2011-08-10 06:40:48,2022-01-25 15:52:14,2021-12-27 22:42:18,132.0,,95.0,13.0,37.0,5.0,19.0,247.0,,,,A simple API to send SMS messages. It is modeled after the django email api.,321.0,321.0,19.0,https://pypi.org/project/django-sendsms,4363.0,4363.0,17,True,2,,,,
94,django-audit-log,vvangelovski/django-audit-log,django-audit-log,[],fields-versioning,https://github.com/vvangelovski/django-audit-log,https://github.com/vvangelovski/django-audit-log,,2011-02-25 12:40:16,2022-12-26 07:34:28,2018-03-12 09:11:28,102.0,,81.0,8.0,30.0,27.0,16.0,229.0,2015-01-23 12:59:33,0.6.0,2.0,Audit log for your Django models.,228.0,228.0,10.0,https://pypi.org/project/django-audit-log,1961.0,1961.0,17,False,3,,,,
95,django-data-browser,tolomea/django-data-browser,django-data-browser,[],data-exploration,https://github.com/tolomea/django-data-browser,https://github.com/tolomea/django-data-browser,BSD-3-Clause,2020-03-29 21:02:52,2023-03-30 22:40:15,2023-03-30 22:40:08,932.0,10.0,17.0,9.0,28.0,3.0,27.0,195.0,,,,Django app for user friendly querying of Django models.,8.0,8.0,9.0,https://pypi.org/project/django-data-browser,1968.0,1968.0,17,True,1,,,,
96,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,MIT,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13.0,15.0,13.0,,12.0,85.0,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",58.0,58.0,9.0,https://pypi.org/project/django-mirage-field,16314.0,16314.0,17,True,2,,,,
97,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2023-03-27 09:40:43,2023-03-27 09:39:44,59.0,16.0,35.0,14.0,11.0,3.0,8.0,393.0,,,,Keep track of your statistics.,22.0,22.0,8.0,https://pypi.org/project/django-trackstats,794.0,794.0,16,True,1,,,,
98,django-sms,roaldnefs/django-sms,django-sms,[],messaging,https://github.com/roaldnefs/django-sms,https://github.com/roaldnefs/django-sms,BSD-3-Clause,2021-01-12 18:16:13,2022-12-25 14:29:05,2022-12-25 14:29:04,30.0,,10.0,2.0,21.0,5.0,7.0,40.0,2022-12-15 08:18:36,0.6.0,6.0,A Django app for sending SMS with interchangeable backends.,130.0,130.0,3.0,https://pypi.org/project/django-sms,3455.0,3455.0,16,True,3,,,,
99,django-scopes,raphaelm/django-scopes,django-scopes,[],multiple-tenants,https://github.com/raphaelm/django-scopes,https://github.com/raphaelm/django-scopes,Apache-2.0,2019-05-10 11:27:07,2023-03-10 13:32:01,2023-01-25 10:10:43,39.0,1.0,16.0,11.0,14.0,9.0,5.0,185.0,,,,Safely separate multiple tenants in a Django database.,45.0,45.0,5.0,https://pypi.org/project/django-scopes,3285.0,3285.0,15,True,3,,,,
100,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,,11.0,8.0,8.0,3.0,14.0,106.0,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,161.0,161.0,5.0,https://pypi.org/project/django-fieldsignals,13701.0,13701.0,15,True,3,,,,
101,django-admin-confirm,trangpham/django-admin-confirm,django-admin-confirm,[],admin-interface-actions,https://github.com/TrangPham/django-admin-confirm,https://github.com/TrangPham/django-admin-confirm,,2020-11-08 18:56:53,2023-03-29 17:08:36,2023-03-29 17:08:35,69.0,4.0,11.0,4.0,25.0,5.0,17.0,94.0,2022-07-08 03:39:24,1.0.0,8.0,"AdminConfirmMixin is a mixin for ModelAdmin that adds confirmations to changes, additions and actions.",22.0,22.0,6.0,https://pypi.org/project/django-admin-confirm,12737.0,12737.0,15,True,3,,,,
102,pyngo,yezz123/pyngo,pyngo,[],pydantic-integration,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-03-31 17:01:11,2023-03-31 17:01:11,75.0,34.0,5.0,1.0,47.0,,1.0,48.0,2023-03-25 12:00:11,1.5.0,6.0,Pydantic model support for Django & Django-Rest-Framework.,2.0,2.0,5.0,https://pypi.org/project/pyngo,4804.0,4804.0,14,True,3,,,,
