,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,github_release_downloads,new_addition,gitlab_id,gitlab_url
62,django-tenants,https://github.com/django-tenants/django-tenants,,[],multiple-tenants,Django tenants using PostgreSQL Schemas.,31,True,django-tenants/django-tenants,django-tenants,https://github.com/django-tenants/django-tenants,MIT,2015-06-09 19:48:59,2025-04-03 07:34:20,2025-04-03 07:34:20,1097.0,6.0,359.0,60.0,363.0,239.0,444.0,1662.0,2024-08-27 13:29:44,3.7.0,48.0,1169.0,1169.0,115.0,https://pypi.org/project/django-tenants,141831.0,141831.0,1.0,,,,,,
63,django-waffle,https://github.com/jazzband/django-waffle,,[],feature-flipper,A feature flipper for Django.,31,True,django-waffle/django-waffle,django-waffle,https://github.com/jazzband/django-waffle,BSD-3-Clause,2011-01-23 17:42:09,2025-04-28 17:16:54,2025-04-26 00:27:57,468.0,5.0,241.0,23.0,339.0,41.0,179.0,1163.0,2024-11-15 17:30:58,4.2.0,25.0,1579.0,1579.0,124.0,https://pypi.org/project/django-waffle,663636.0,663636.0,1.0,,jazzband/django-waffle,,,,
64,django-notifications,https://github.com/django-notifications/django-notifications,,[],others,GitHub notifications alike app for Django.,30,True,django-notifications/django-notifications,django-notifications-hq,https://github.com/django-notifications/django-notifications,BSD-3-Clause,2012-07-22 10:41:02,2025-04-02 15:45:29,2025-04-02 15:45:29,469.0,5.0,419.0,41.0,187.0,23.0,196.0,1873.0,2023-10-19 00:00:44,1.8.3,8.0,3014.0,3014.0,75.0,https://pypi.org/project/django-notifications-hq,66419.0,66419.0,3.0,,,,,,
65,django-q,https://github.com/Koed00/django-q,,[],task-queues,A multiprocessing distributed task queue for Django.,30,True,Koed00/django-q,django-q,https://github.com/Koed00/django-q,MIT,2015-06-14 12:37:08,2024-08-13 12:14:42,2021-06-26 12:04:16,1246.0,,239.0,50.0,313.0,279.0,154.0,1867.0,2021-06-10 16:52:14,1.3.9,78.0,1944.0,1944.0,62.0,https://pypi.org/project/django-q,66136.0,66136.0,3.0,,,,,,
66,django-prometheus,https://github.com/korfuri/django-prometheus,,[],apm,Export Django monitoring metrics for Prometheus.io.,30,True,korfuri/django-prometheus,django-prometheus,https://github.com/korfuri/django-prometheus,Apache-2.0,2015-04-05 06:53:05,2024-12-09 22:17:04,2024-12-09 22:17:04,553.0,,241.0,25.0,290.0,66.0,95.0,1547.0,2023-05-02 19:51:57,2.3.1,6.0,3862.0,3862.0,58.0,https://pypi.org/project/django-prometheus,1033050.0,1033050.0,2.0,,,,,,
67,Open edX,https://github.com/openedx/edx-platform,,[],education-framework,"The Open edX LMS & Studio, powering education sites around the world!.",29,True,openedx/edx-platform,,https://github.com/openedx/edx-platform,AGPL-3.0,2013-05-30 20:20:38,2025-04-30 23:15:05,2025-04-30 20:40:52,66753.0,359.0,3698.0,425.0,35897.0,226.0,481.0,7694.0,2015-03-02 21:13:51,named-release/birch,4.0,3.0,3.0,1455.0,,,,1.0,,,,,,
68,InvenTree,https://github.com/inventree/InvenTree,,[],inventory-management-system,Open Source Inventory Management System.,29,True,inventree/InvenTree,,https://github.com/inventree/InvenTree,MIT,2017-03-23 01:44:10,2025-04-30 21:43:55,2025-04-30 21:34:26,16580.0,286.0,899.0,71.0,5878.0,196.0,2704.0,4931.0,2025-04-24 05:25:55,0.17.11,100.0,3.0,3.0,100.0,,,26.0,1.0,,,1348.0,,,
69,djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,,[],restful-api-drf,A JSON Web Token authentication plugin for the Django REST Framework.,29,True,jazzband/djangorestframework-simplejwt,djangorestframework-simplejwt,https://github.com/jazzband/djangorestframework-simplejwt,MIT,2017-05-05 17:41:35,2025-04-28 19:56:03,2025-04-28 19:55:14,671.0,19.0,641.0,53.0,411.0,112.0,387.0,4155.0,2025-02-26 19:34:29,5.5.0,13.0,,,132.0,https://pypi.org/project/djangorestframework-simplejwt,3412934.0,3412934.0,2.0,,,,,,
70,tach,https://github.com/gauge-sh/tach,,[],development,"A Python tool to visualize + enforce dependencies, using modular architecture Open source Installable via pip Able to..",29,True,gauge-sh/tach,tach,https://github.com/gauge-sh/tach,MIT,2024-01-31 20:12:23,2025-04-28 04:40:35,2025-04-18 23:21:20,2298.0,327.0,60.0,14.0,629.0,18.0,105.0,2379.0,2025-04-18 23:26:40,0.29.0,100.0,53.0,53.0,20.0,https://pypi.org/project/tach,428701.0,428701.0,1.0,,,,,,
71,django-fsm,https://github.com/viewflow/django-fsm,,[],finite-state-machine,Django friendly finite state machine support.,29,True,viewflow/django-fsm,django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2024-04-16 12:13:04,2024-04-16 12:13:00,353.0,,281.0,45.0,146.0,1.0,156.0,2343.0,2024-04-09 07:55:47,3.0.0,5.0,1812.0,1812.0,70.0,https://pypi.org/project/django-fsm,338447.0,338447.0,2.0,,,,,,
72,django-cacheops,https://github.com/Suor/django-cacheops,,[],caching,A slick ORM cache with automatic granular event-driven invalidation.,29,True,Suor/django-cacheops,django-cacheops,https://github.com/Suor/django-cacheops,BSD-3-Clause,2011-06-04 12:25:47,2025-04-20 04:29:21,2025-04-20 04:28:56,1255.0,9.0,219.0,38.0,150.0,16.0,328.0,2185.0,,,,1489.0,1489.0,71.0,https://pypi.org/project/django-cacheops,199291.0,199291.0,1.0,,,,,,
73,django-cachalot,https://github.com/noripyt/django-cachalot,,[],caching,"No effort, no worry, maximum performance.",29,True,noripyt/django-cachalot,django-cachalot,https://github.com/noripyt/django-cachalot,BSD-3-Clause,2014-09-26 13:08:06,2025-04-17 00:04:30,2025-04-17 00:04:01,651.0,3.0,148.0,24.0,100.0,29.0,143.0,1340.0,2025-04-17 00:04:30,2.8.0,24.0,934.0,934.0,39.0,https://pypi.org/project/django-cachalot,107285.0,107285.0,1.0,,,,,,
74,django-dbbackup,https://github.com/jazzband/django-dbbackup,,[],management-commands,Management commands to help backup and restore your project database and media files.,29,True,jazzband/django-dbbackup,django-dbbackup,https://github.com/jazzband/django-dbbackup,BSD-3-Clause,2014-12-29 02:39:34,2025-04-30 00:25:47,2025-04-30 00:25:47,514.0,6.0,198.0,22.0,261.0,68.0,227.0,1044.0,2024-08-23 22:20:38,4.2.1,6.0,2393.0,2393.0,78.0,https://pypi.org/project/django-dbbackup,168240.0,168240.0,2.0,,,,,,
75,djangorestframework-stubs,https://github.com/typeddjango/djangorestframework-stubs,,[],type-stubs,PEP-484 stubs for django-rest-framework.,29,True,typeddjango/djangorestframework-stubs,djangorestframework-stubs,https://github.com/typeddjango/djangorestframework-stubs,MIT,2018-11-12 01:07:16,2025-04-28 21:15:02,2025-04-28 21:15:02,583.0,33.0,116.0,6.0,607.0,52.0,99.0,491.0,2025-04-27 12:18:55,3.16.0,26.0,3706.0,3706.0,79.0,https://pypi.org/project/djangorestframework-stubs,1173780.0,1173780.0,3.0,,,,,,
76,plane,https://github.com/makeplane/plane,,[],project-management-framework,"Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the..",28,True,makeplane/plane,,https://github.com/makeplane/plane,AGPL-3.0,2022-11-19 12:55:01,2025-04-30 16:17:03,2025-04-30 16:16:59,5773.0,358.0,2192.0,135.0,5645.0,449.0,748.0,35661.0,2025-04-28 13:02:01,0.26.0,44.0,,,115.0,,,590.0,1.0,,,16526.0,,,
77,mezzanine,https://github.com/stephenmcd/mezzanine,,[],cms-framework,CMS framework for Django.,28,True,stephenmcd/mezzanine,mezzanine,https://github.com/stephenmcd/mezzanine,BSD-2-Clause,2010-05-29 12:16:55,2025-04-06 16:55:05,2025-04-06 16:47:08,5315.0,9.0,1571.0,244.0,987.0,41.0,1014.0,4794.0,2025-04-06 16:54:14,6.1.0,11.0,,,328.0,https://pypi.org/project/mezzanine,6141.0,6141.0,3.0,,,,,,
78,django-grappelli,https://github.com/sehmaschine/django-grappelli,,[],admin-interface,A jazzy skin for the Django Admin-Interface (official repository).,28,True,sehmaschine/django-grappelli,django-grappelli,https://github.com/sehmaschine/django-grappelli,,2010-03-26 12:25:59,2025-04-28 13:57:24,2025-04-28 13:49:07,1960.0,6.0,639.0,87.0,336.0,7.0,723.0,3846.0,,,,6757.0,6757.0,91.0,https://pypi.org/project/django-grappelli,211319.0,211319.0,2.0,,,,,,
79,django-material,https://github.com/viewflow/django-material,,[],admin-interface,Material Design for Django.,28,True,viewflow/django-material,django-material,https://github.com/viewflow/django-material,AGPL-3.0,2015-01-16 07:17:33,2025-04-30 08:37:03,2025-04-30 08:36:57,117.0,117.0,413.0,89.0,122.0,20.0,393.0,2499.0,2017-10-27 11:20:04,1.1.0,5.0,1859.0,1859.0,4.0,https://pypi.org/project/django-material,15817.0,15817.0,2.0,,,,,,
80,django-htmx,https://github.com/adamchainz/django-htmx,,[],templates,Extensions for using Django with htmx.,28,True,adamchainz/django-htmx,django-htmx,https://github.com/adamchainz/django-htmx,MIT,2020-10-18 17:12:47,2025-04-25 11:04:37,2025-04-25 11:04:35,537.0,25.0,140.0,38.0,436.0,3.0,80.0,1784.0,,,,4282.0,4282.0,24.0,https://pypi.org/project/django-htmx,373126.0,373126.0,1.0,,,,,,
81,django-tailwind,https://github.com/timonweb/django-tailwind,,[],mvt-tailwind-css-framework-integration,Django + Tailwind CSS =.,28,True,timonweb/django-tailwind,django-tailwind,https://github.com/timonweb/django-tailwind,MIT,2019-04-11 19:49:28,2025-04-04 17:38:06,2025-04-04 17:38:01,330.0,25.0,99.0,16.0,57.0,5.0,158.0,1551.0,,,,6281.0,6281.0,22.0,https://pypi.org/project/django-tailwind,130698.0,130698.0,1.0,,,,,,
82,django-configurations,https://github.com/jazzband/django-configurations,,[],configuration,A helper for organizing Django project settings by relying on well established programming patterns.,28,True,jazzband/django-configurations,django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2024-11-18 23:53:14,2024-11-18 23:53:09,512.0,,142.0,21.0,194.0,52.0,156.0,1122.0,2023-11-30 10:00:09,2.5.1,11.0,3301.0,3301.0,74.0,https://pypi.org/project/django-configurations,252180.0,252180.0,3.0,,,,,,
83,model_bakery,https://github.com/model-bakers/model_bakery,,[],testing,Object factory for Django.,28,True,model-bakers/model_bakery,model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2025-03-07 11:18:20,2025-03-07 11:18:20,420.0,12.0,93.0,10.0,364.0,26.0,124.0,890.0,2025-02-26 20:09:38,1.20.4,36.0,4920.0,4920.0,62.0,https://pypi.org/project/model_bakery,753231.0,753231.0,2.0,,,,,,
84,model-bakery,https://github.com/model-bakers/model_bakery,,[],fake-data,Object factory for Django.,28,True,model-bakers/model_bakery,model-bakery/,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2025-03-07 11:18:20,2025-03-07 11:18:20,420.0,12.0,93.0,10.0,364.0,26.0,124.0,890.0,2025-02-26 20:09:38,1.20.4,36.0,4920.0,4920.0,62.0,https://pypi.org/project/model-bakery/,753231.0,753231.0,1.0,,,,,,
85,django-admin-sortable2,https://github.com/jrief/django-admin-sortable2,,[],admin-interface-actions,Generic drag-and-drop ordering for objects in the Django admin interface.,28,True,jrief/django-admin-sortable2,django-admin-sortable2,https://github.com/jrief/django-admin-sortable2,,2013-07-07 21:26:56,2025-04-29 12:25:06,2025-04-29 12:25:06,831.0,13.0,175.0,19.0,178.0,46.0,185.0,826.0,2025-04-01 12:36:29,2.2.6,18.0,2811.0,2811.0,90.0,https://pypi.org/project/django-admin-sortable2,283276.0,283276.0,2.0,,,,,,
86,django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,,[],graphql-api,JSON Web Token (JWT) authentication for Graphene Django.,28,True,flavors/django-graphql-jwt,django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2023-12-20 11:55:00,2023-08-04 09:45:28,555.0,,157.0,14.0,102.0,63.0,171.0,823.0,2023-08-04 09:46:09,0.4.0,27.0,5525.0,5525.0,26.0,https://pypi.org/project/django-graphql-jwt,122494.0,122494.0,3.0,,,,,,
87,strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-django,,[],graphql-api,Strawberry GraphQL Django extension.,28,True,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-django,MIT,2020-10-30 17:12:01,2025-04-30 19:48:14,2025-04-30 19:39:21,874.0,35.0,132.0,15.0,379.0,86.0,270.0,451.0,2025-04-30 19:48:14,0.59.0,100.0,590.0,590.0,100.0,https://pypi.org/project/strawberry-graphql-django,272512.0,272512.0,3.0,,strawberry-graphql/strawberry-django,,,,
88,highlight,https://github.com/highlight/highlight,,[],apm,"highlight.io: The open source, full-stack monitoring platform. Error monitoring, session replay, logging, distributed..",27,True,highlight/highlight,,https://github.com/highlight/highlight,,2020-08-20 17:55:23,2025-04-29 22:16:41,2025-04-23 08:01:56,7011.0,129.0,404.0,29.0,7337.0,285.0,2492.0,8191.0,2025-02-12 22:59:28,docker-v0.5.4,55.0,372.0,372.0,81.0,,,,3.0,,,,,,
89,strawberry,https://github.com/strawberry-graphql/strawberry,,[],graphql-api,A GraphQL library for Python that leverages type annotations.,27,True,strawberry-graphql/strawberry,strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2025-04-29 18:29:19,2025-04-29 18:29:17,3419.0,68.0,557.0,37.0,2652.0,396.0,678.0,4244.0,2025-04-19 20:56:03,0.266.0,100.0,,,280.0,https://pypi.org/project/strawberry,765.0,808.0,3.0,,,564.0,,,
90,django-tenant-schemas,https://github.com/bernardopires/django-tenant-schemas,,[],multiple-tenants,Tenant support for Django using PostgreSQL schemas.,27,True,bernardopires/django-tenant-schemas,django-tenant-schemas,https://github.com/bernardopires/django-tenant-schemas,MIT,2012-06-23 10:54:34,2023-11-01 13:33:35,2023-07-02 19:48:20,637.0,,395.0,65.0,229.0,147.0,330.0,1480.0,2023-08-27 13:05:42,1.12.0,2.0,461.0,461.0,75.0,https://pypi.org/project/django-tenant-schemas,24831.0,24831.0,2.0,,,,,,
91,django-split-settings,https://github.com/wemake-services/django-split-settings,,[],configuration,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,27,True,wemake-services/django-split-settings,django-split-settings,https://github.com/wemake-services/django-split-settings,BSD-3-Clause,2013-05-17 06:04:30,2025-04-07 09:22:06,2025-04-07 09:21:58,562.0,3.0,68.0,16.0,525.0,5.0,43.0,1151.0,2024-07-05 14:30:34,1.3.2,9.0,3372.0,3372.0,25.0,https://pypi.org/project/django-split-settings,171725.0,171725.0,3.0,,,,,,
92,django-ses,https://github.com/django-ses/django-ses,,[],emails,A Django email backend for Amazons Simple Email Service.,27,True,django-ses/django-ses,django-ses,https://github.com/django-ses/django-ses,MIT,2011-01-25 19:41:40,2025-03-07 04:24:45,2025-03-07 04:24:38,385.0,1.0,218.0,16.0,200.0,49.0,101.0,1044.0,2024-11-26 19:17:50,4.3.0,52.0,3412.0,3412.0,84.0,https://pypi.org/project/django-ses,783253.0,783253.0,2.0,-2.0,,,,,
93,django-paypal,https://github.com/spookylukey/django-paypal,,[],payment-subscriptions,A pluggable Django application for integrating PayPal Payments Standard or Payments Pro.,27,True,spookylukey/django-paypal,django-paypal,https://github.com/spookylukey/django-paypal,MIT,2012-06-09 14:04:06,2025-04-28 16:48:08,2024-11-18 21:22:27,798.0,,201.0,26.0,121.0,12.0,153.0,731.0,,,,4137.0,4137.0,73.0,https://pypi.org/project/django-paypal,19393.0,19393.0,1.0,,,,,,
94,django-structlog,https://github.com/jrobichaud/django-structlog,,[],logging,Structured Logging for Django.,27,True,jrobichaud/django-structlog,django-structlog,https://github.com/jrobichaud/django-structlog,MIT,2019-04-07 21:29:34,2025-04-28 11:40:06,2025-04-28 11:35:27,1920.0,166.0,36.0,6.0,757.0,2.0,68.0,472.0,,,,814.0,814.0,24.0,https://pypi.org/project/django-structlog,577241.0,577241.0,3.0,,,,,,
95,django-oidc-provider,https://github.com/juanifioren/django-oidc-provider,,[],authentication-authorization,OpenID Connect and OAuth2 provider implementation for Djangonauts.,27,True,juanifioren/django-oidc-provider,django-oidc-provider,https://github.com/juanifioren/django-oidc-provider,MIT,2014-12-15 19:53:50,2025-03-27 18:00:02,2024-12-06 16:39:50,1075.0,,221.0,17.0,231.0,50.0,157.0,435.0,2024-12-06 16:44:57,0.8.3,24.0,407.0,407.0,74.0,https://pypi.org/project/django-oidc-provider,16426.0,16426.0,2.0,,,,,,
96,django-bootstrap5,https://github.com/zostera/django-bootstrap5,,[],mvt-bootstrap-css-framework-integration,Bootstrap 5 for Django.,27,True,zostera/django-bootstrap5,django-bootstrap5,https://github.com/zostera/django-bootstrap5,BSD-3-Clause,2021-03-15 13:32:45,2025-03-17 20:47:04,2025-03-01 10:29:26,1482.0,4.0,84.0,14.0,642.0,36.0,70.0,428.0,,,,9299.0,9299.0,151.0,https://pypi.org/project/django-bootstrap5,207694.0,207694.0,3.0,,,,,,
97,Mobile Security Framework (MobSF),https://github.com/MobSF/Mobile-Security-Framework-MobSF,,[],security-framework,"Mobile Security Framework (MobSF) is an automated, all-in-one mobile application (Android/iOS/Windows) pen-testing,..",26,True,MobSF/Mobile-Security-Framework-MobSF,,https://github.com/MobSF/Mobile-Security-Framework-MobSF,GPL-3.0,2015-01-31 04:36:01,2025-04-25 21:06:01,2025-04-25 21:05:53,2010.0,9.0,3244.0,583.0,928.0,12.0,1506.0,18501.0,2025-03-29 17:57:28,4.3.2,48.0,3.0,3.0,102.0,,,,3.0,,,,,,
98,django-jet,https://github.com/geex-arts/django-jet,,[],admin-interface,Modern responsive template for the Django admin interface with improved functionality. We are proud to announce..,26,False,geex-arts/django-jet,django-jet,https://github.com/geex-arts/django-jet,AGPL-3.0,2015-07-29 21:35:35,2024-02-10 02:55:55,2019-05-21 10:57:50,891.0,,664.0,114.0,177.0,215.0,131.0,3606.0,2018-10-18 06:39:57,1.0.8,23.0,3360.0,3360.0,29.0,https://pypi.org/project/django-jet,8935.0,8935.0,3.0,,,,,,
99,django-shop,https://github.com/awesto/django-shop,,[],ecommerce-framework,A Django based shop system.,26,True,awesto/django-shop,django-shop,https://github.com/awesto/django-shop,BSD-3-Clause,2010-11-19 11:15:48,2023-10-19 01:09:56,2021-02-28 18:04:57,5402.0,,994.0,170.0,501.0,90.0,292.0,3268.0,,,,229.0,229.0,96.0,https://pypi.org/project/django-shop,1755.0,1755.0,3.0,,,,,,
100,shuup,https://github.com/shuup/shuup,,[],ecommerce-framework,E-Commerce Platform.,26,True,shuup/shuup,shuup,https://github.com/shuup/shuup,,2015-06-03 12:53:21,2024-03-13 23:45:42,2021-08-18 22:32:03,7104.0,,1098.0,119.0,2196.0,147.0,291.0,2296.0,2021-08-17 18:55:57,2.14.3,100.0,181.0,181.0,67.0,https://pypi.org/project/shuup,16818.0,16828.0,3.0,,,713.0,,,
101,eventsourcing,https://github.com/pyeventsourcing/eventsourcing,,[],event-sourcing,A library for event sourcing in Python.,26,True,pyeventsourcing/eventsourcing,eventsourcing,https://github.com/pyeventsourcing/eventsourcing,BSD-3-Clause,2015-08-25 13:35:28,2025-04-30 20:55:33,2025-04-30 20:55:25,5094.0,141.0,130.0,37.0,196.0,3.0,94.0,1539.0,,,,187.0,187.0,28.0,https://pypi.org/project/eventsourcing,30417.0,30417.0,1.0,,,,,,
102,injector,https://github.com/python-injector/injector,,[],dependency-injection,"Python dependency injection framework, inspired by Guice.",26,True,python-injector/injector,injector,https://github.com/python-injector/injector,BSD-3-Clause,2010-11-25 12:05:20,2025-03-13 07:56:21,2025-03-13 07:56:20,481.0,4.0,85.0,13.0,123.0,47.0,100.0,1398.0,,,,2826.0,2826.0,31.0,https://pypi.org/project/injector,2066464.0,2066464.0,1.0,,,,,,
103,django-organizations,https://github.com/bennylope/django-organizations,,[],authentication-authorization,Multi-user accounts for Django projects.,26,True,bennylope/django-organizations,django-organizations,https://github.com/bennylope/django-organizations,BSD-2-Clause,2012-02-02 02:38:49,2024-10-30 18:35:14,2024-10-28 19:02:09,754.0,,208.0,36.0,116.0,13.0,138.0,1315.0,2024-10-28 18:53:47,2.5.0,20.0,309.0,309.0,49.0,https://pypi.org/project/django-organizations,50353.0,50353.0,2.0,,,,,,
104,django-ratelimit,https://github.com/jsocol/django-ratelimit,,[],authentication-authorization,Cache-based rate-limiting for Django.,26,True,jsocol/django-ratelimit,django-ratelimit,https://github.com/jsocol/django-ratelimit,,2011-05-20 23:05:29,2024-07-11 18:32:53,2023-12-05 19:30:12,317.0,,177.0,17.0,159.0,26.0,125.0,1104.0,2023-07-24 20:36:04,4.1.0,2.0,3747.0,3747.0,51.0,https://pypi.org/project/django-ratelimit,771136.0,771136.0,2.0,,,,,,
105,django-post-office,https://github.com/ui/django-post_office,,[],emails,"A Django app that allows you to send email asynchronously in Django. Supports HTML email, database backed templates..",26,True,ui/django-post_office,django-post-office,https://github.com/ui/django-post_office,MIT,2012-08-11 08:08:52,2024-11-22 02:04:41,2024-11-22 01:52:10,786.0,,248.0,35.0,228.0,95.0,157.0,1030.0,2024-11-22 02:06:30,3.9.1,10.0,112.0,112.0,82.0,https://pypi.org/project/django-post-office,65835.0,65835.0,3.0,,,,,,
106,wrabit/django-cotton,https://github.com/wrabit/django-cotton,,[],templates,Enabling Modern UI Composition in Django.,26,True,wrabit/django-cotton,django-cotton,https://github.com/wrabit/django-cotton,MIT,2024-06-08 13:30:49,2025-04-29 21:15:44,2025-04-29 21:15:44,597.0,50.0,40.0,12.0,146.0,3.0,95.0,818.0,2025-04-29 07:39:07,2.1.0,65.0,209.0,209.0,11.0,https://pypi.org/project/django-cotton,39396.0,39396.0,2.0,,,,,,
107,django-otp,https://github.com/django-otp/django-otp,,[],authentication-authorization,A pluggable framework for adding two-factor authentication to Django using one-time passwords.,26,True,django-otp/django-otp,django-otp,https://github.com/django-otp/django-otp,Unlicense,2019-08-22 17:57:17,2025-04-02 22:40:15,2025-04-02 22:39:11,289.0,3.0,106.0,11.0,80.0,12.0,72.0,582.0,,,,4111.0,4111.0,49.0,https://pypi.org/project/django-otp,1035430.0,1035430.0,2.0,,,,,,
108,django-test-migrations,https://github.com/wemake-services/django-test-migrations,,[],testing,"Test django schema and data migrations, including migrations order and best practices.",26,True,wemake-services/django-test-migrations,django-test-migrations,https://github.com/wemake-services/django-test-migrations,MIT,2019-11-21 14:10:42,2025-04-18 10:15:02,2025-04-18 10:14:36,505.0,8.0,32.0,8.0,438.0,16.0,52.0,547.0,2025-04-18 10:15:29,1.5.0,9.0,919.0,919.0,19.0,https://pypi.org/project/django-test-migrations,217339.0,217339.0,3.0,,,,,,
109,django-concurrency,https://github.com/saxix/django-concurrency,,[],locking,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,26,True,saxix/django-concurrency,django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2025-04-03 17:35:40,2025-04-03 17:35:36,714.0,16.0,50.0,8.0,183.0,1.0,74.0,450.0,2025-04-03 17:26:46,2.7,5.0,201.0,201.0,26.0,https://pypi.org/project/django-concurrency,63741.0,63741.0,1.0,,,,,,
110,django-rest-passwordreset,https://github.com/anexia-it/django-rest-passwordreset,,[],restful-api-drf,"An extension of django rest framework, providing a configurable password reset strategy.",26,True,anexia-it/django-rest-passwordreset,django-rest-passwordreset,https://github.com/anexia-it/django-rest-passwordreset,BSD-3-Clause,2017-03-13 19:06:30,2024-11-13 17:39:13,2024-11-13 17:39:13,187.0,,139.0,8.0,95.0,26.0,79.0,431.0,2024-11-05 13:54:56,1.5.0,22.0,4288.0,4288.0,40.0,https://pypi.org/project/django-rest-passwordreset,172260.0,172260.0,3.0,,,,,,
111,django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,,[],authentication-authorization,"Django CAS 1.0/2.0/3.0 client authentication library, supporting Django 4.2+ and Python 3.8+.",26,True,django-cas-ng/django-cas-ng,django-cas-ng,https://github.com/django-cas-ng/django-cas-ng,MIT,2014-05-23 22:52:34,2025-03-06 23:07:51,2025-02-06 21:19:17,668.0,3.0,163.0,16.0,207.0,7.0,152.0,386.0,2023-10-17 22:51:49,5.0.1,28.0,598.0,598.0,87.0,https://pypi.org/project/django-cas-ng,31950.0,31955.0,2.0,,,705.0,,,
112,django-auth-adfs,https://github.com/snok/django-auth-adfs,,[],authentication-authorization,A Django authentication backend for Microsoft ADFS and AzureAD.,26,True,snok/django-auth-adfs,django-auth-adfs,https://github.com/snok/django-auth-adfs,BSD-2-Clause,2016-02-10 08:15:03,2025-04-09 00:09:35,2025-04-09 00:08:12,510.0,4.0,100.0,15.0,158.0,33.0,179.0,283.0,2025-01-15 15:55:36,1.15.0,35.0,172.0,172.0,49.0,https://pypi.org/project/django-auth-adfs,73300.0,73300.0,2.0,,,,,,
113,django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,,[],restful-api-ninja,A JSON Web Token authentication plugin for the Django REST Framework.,26,True,eadwinCode/django-ninja-jwt,django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,MIT,2021-10-24 07:51:40,2025-04-05 08:59:26,2025-04-05 08:58:35,716.0,11.0,25.0,5.0,90.0,16.0,21.0,180.0,2025-04-05 08:59:26,5.3.7,24.0,449.0,449.0,87.0,https://pypi.org/project/django-ninja-jwt,58904.0,58904.0,2.0,,,,,,
114,factory_boy,https://github.com/FactoryBoy/factory_boy,,[],testing,A test fixtures replacement for Python.,25,True,FactoryBoy/factory_boy,factory_boy,https://github.com/FactoryBoy/factory_boy,MIT,2011-05-11 08:26:59,2025-02-03 09:49:14,2025-02-03 09:49:09,1034.0,13.0,392.0,40.0,520.0,156.0,432.0,3624.0,,,,,,133.0,https://pypi.org/project/factory_boy,6758268.0,6758268.0,3.0,,,,,,
115,django-payments,https://github.com/jazzband/django-payments,,[],payment-subscriptions,Universal payment handling for Django.,25,True,jazzband/django-payments,django-payments,https://github.com/jazzband/django-payments,,2010-09-30 14:17:47,2025-04-28 17:16:41,2025-03-16 12:59:51,907.0,7.0,273.0,40.0,263.0,68.0,115.0,1138.0,2021-02-01 11:27:35,0.14.0,29.0,626.0,626.0,68.0,https://pypi.org/project/django-payments,11399.0,11399.0,2.0,,,31.0,,,
116,django-baton,https://github.com/otto-torino/django-baton,,[],admin-interface,"A cool, modern and responsive django admin application based on bootstrap 5 that brings AI to the Django admin -..",25,True,otto-torino/django-baton,django-baton,https://github.com/otto-torino/django-baton,MIT,2017-02-10 12:54:24,2025-03-06 22:50:19,2024-12-12 09:49:50,1096.0,,96.0,13.0,108.0,2.0,184.0,940.0,2024-12-12 09:53:19,4.2.2,53.0,455.0,455.0,17.0,https://pypi.org/project/django-baton,11909.0,11909.0,3.0,,,,,,
117,django-easy-audit,https://github.com/soynatan/django-easy-audit,,[],fields-versioning,"Yet another Django audit log app, hopefully the simplest one.",25,True,soynatan/django-easy-audit,django-easy-audit,https://github.com/soynatan/django-easy-audit,GPL-3.0,2016-10-23 06:55:16,2025-04-19 03:04:34,2025-04-19 02:59:50,321.0,4.0,182.0,14.0,167.0,81.0,81.0,788.0,2024-10-09 11:35:31,1.3.7,59.0,352.0,352.0,51.0,https://pypi.org/project/django-easy-audit,69528.0,69528.0,3.0,2.0,,,,,
