,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
64,django-sendsms,stefanfoulis/django-sendsms,django-sendsms,[],messaging,https://github.com/stefanfoulis/django-sendsms,https://github.com/stefanfoulis/django-sendsms,MIT,2011-08-10 06:40:48,2022-01-25 15:52:14,2021-12-27 22:42:18,132.0,,95.0,13.0,37.0,5.0,19.0,245.0,,,,A simple API to send SMS messages. It is modeled after the django email api.,309.0,309.0,19.0,https://pypi.org/project/django-sendsms,2578.0,2578.0,17,True,2,,,,,
65,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,1.0,77.0,29.0,66.0,17.0,20.0,190.0,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,282.0,282.0,32.0,https://pypi.org/project/django-fsm-admin,30813.0,30813.0,17,True,3,,,,,
66,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,MIT,2021-06-17 09:58:17,2023-01-02 07:27:30,2022-12-22 13:40:41,374.0,17.0,8.0,5.0,31.0,1.0,10.0,99.0,2023-01-02 07:26:42,0.18.0,16.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,7.0,https://pypi.org/project/django-ninja-extra,5295.0,5295.0,17,True,2,,,,,
67,django-sms,roaldnefs/django-sms,django-sms,[],messaging,https://github.com/roaldnefs/django-sms,https://github.com/roaldnefs/django-sms,BSD-3-Clause,2021-01-12 18:16:13,2022-12-25 14:29:05,2022-12-25 14:29:04,30.0,4.0,10.0,2.0,21.0,4.0,7.0,37.0,2022-12-15 08:18:36,0.6.0,6.0,A Django app for sending SMS with interchangeable backends.,114.0,114.0,3.0,https://pypi.org/project/django-sms,1737.0,1737.0,17,True,2,,,,,
68,django-ninja-jwt,eadwinCode/django-ninja-jwt,django-ninja-jwt,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,MIT,2021-10-24 07:51:40,2022-11-30 06:51:41,2022-11-30 06:51:41,618.0,7.0,5.0,3.0,16.0,,,33.0,2022-10-30 10:49:06,5.2.2,11.0,A JSON Web Token authentication plugin for the Django REST Framework.,,,77.0,https://pypi.org/project/django-ninja-jwt,2552.0,2552.0,17,True,2,,,,,
69,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,MIT,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13.0,15.0,13.0,,12.0,85.0,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",52.0,52.0,9.0,https://pypi.org/project/django-mirage-field,7625.0,7625.0,16,True,2,,,-1.0,,
70,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2022-11-23 10:11:37,2022-04-25 09:05:39,43.0,,32.0,12.0,10.0,3.0,8.0,374.0,,,,Keep track of your statistics.,22.0,22.0,6.0,https://pypi.org/project/django-trackstats,536.0,536.0,15,True,1,,,,,
71,django-cryptographic-fields,foundertherapy/django-cryptographic-fields,django-cryptographic-fields,[],encrpyted-fields,https://github.com/foundertherapy/django-cryptographic-fields,https://github.com/foundertherapy/django-cryptographic-fields,MIT,2015-04-29 22:49:48,2021-11-10 12:49:34,2016-09-27 23:25:27,34.0,,25.0,12.0,16.0,9.0,2.0,26.0,2016-09-23 16:28:37,0.5.0,3.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,16.0,16.0,8.0,https://pypi.org/project/django-cryptographic-fields,2008.0,2008.0,15,False,3,,,,,
72,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,1.0,11.0,8.0,8.0,3.0,14.0,104.0,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,133.0,133.0,5.0,https://pypi.org/project/django-fieldsignals,7983.0,7983.0,13,True,3,,,-1.0,,
73,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,20.0,2.0,8.0,1.0,4.0,110.0,,,,Offline optimistic locking for Django.,12.0,12.0,4.0,https://pypi.org/project/django-optimistic-lock,3196.0,3196.0,12,True,3,,,,,
