,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
151,pyngo,yezz123/pyngo,pyngo,[],pydantic-integration,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2025-02-24 20:44:37,2025-02-10 13:47:20,236.0,16.0,7.0,3.0,204.0,,4.0,87.0,2024-12-01 13:33:32,2.3.0,14.0,Pydantic model support for Django & Django-Rest-Framework.,22.0,22.0,8.0,https://pypi.org/project/pyngo,5977.0,5977.0,19,True,2.0,,,,,,
152,django-admin-numeric-filter,lukasvinclav/django-admin-numeric-filter,django-admin-numeric-filter,[],admin-interface-filters,https://github.com/lukasvinclav/django-admin-numeric-filter,https://github.com/lukasvinclav/django-admin-numeric-filter,MIT,2018-08-10 10:21:18,2023-02-16 07:53:41,2023-02-16 07:53:37,60.0,,35.0,4.0,18.0,5.0,14.0,79.0,2023-02-16 07:52:21,0.1.9,3.0,Numeric filters for Django admin.,203.0,203.0,14.0,https://pypi.org/project/django-admin-numeric-filter,16708.0,16708.0,19,True,1.0,,,,,,
153,merchant,agiliq/merchant,merchant,[],payment-subscriptions,https://github.com/agiliq/merchant,https://github.com/agiliq/merchant,BSD-3-Clause,2010-09-29 11:30:58,2022-07-08 19:12:50,2015-07-08 05:29:26,684.0,,163.0,59.0,86.0,23.0,42.0,1020.0,,,4.0,A Django app to accept payments from various payment processors via Pluggable backends.,33.0,33.0,49.0,https://pypi.org/project/merchant,,,18,False,2.0,,,,,,
154,Autotest (fully automated testing primarily designed to test the Linux kernel) dashboard backend.,autotest/autotest,,[],test-automation-system,https://github.com/autotest/autotest,https://github.com/autotest/autotest,,2011-09-19 15:25:16,2024-02-21 07:51:13,2023-12-01 05:16:01,7843.0,,342.0,127.0,676.0,117.0,288.0,711.0,,,,Autotest - Fully automated tests on Linux.,35.0,35.0,295.0,,,,18,True,1.0,,,,,,
155,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,BSD-3-Clause,2015-05-23 16:08:52,2024-08-11 12:15:04,2024-08-11 12:15:01,511.0,,61.0,11.0,157.0,6.0,51.0,619.0,,,,Useful additions to Djangos default TestCase.,,,35.0,https://pypi.org/project/django-test-plus,65159.0,65159.0,18,True,3.0,,,,,,
156,djaodjin-saas,djaodjin/djaodjin-saas,djaodjin-saas,[],value-as-a-service-framework,https://github.com/djaodjin/djaodjin-saas,https://github.com/djaodjin/djaodjin-saas,,2013-05-06 22:43:32,2025-02-20 02:44:09,2025-02-20 02:43:23,1948.0,30.0,127.0,24.0,194.0,14.0,98.0,580.0,,,,Django application for software-as-service and subscription businesses.,12.0,12.0,12.0,https://pypi.org/project/djaodjin-saas,1052.0,1052.0,18,True,1.0,,,,,,
157,django-template-partials,carltongibson/django-template-partials,django-template-partials,[],templates,https://github.com/carltongibson/django-template-partials,https://github.com/carltongibson/django-template-partials,MIT,2023-05-17 18:22:35,2025-02-03 08:12:19,2025-02-03 08:12:19,52.0,1.0,21.0,18.0,34.0,9.0,20.0,527.0,,,,Reusable named inline partials for the Django Template Language.,276.0,276.0,15.0,https://pypi.org/project/django-template-partials,44366.0,44366.0,18,True,3.0,,,,,,
158,django-cryptography,georgemarshall/django-cryptography,django-cryptography,[],encrpyted-fields,https://github.com/georgemarshall/django-cryptography,https://github.com/georgemarshall/django-cryptography,BSD-3-Clause,2016-03-02 07:55:01,2024-11-18 05:40:33,2024-02-16 03:05:10,153.0,,75.0,18.0,44.0,41.0,32.0,389.0,2022-04-06 04:41:14,1.1,13.0,Easily encrypt data in Django.,,,4.0,https://pypi.org/project/django-cryptography,154506.0,154506.0,18,True,1.0,,,,,,
159,django-data-browser,tolomea/django-data-browser,django-data-browser,[],data-exploration,https://github.com/tolomea/django-data-browser,https://github.com/tolomea/django-data-browser,BSD-3-Clause,2020-03-29 21:02:52,2024-04-13 08:26:56,2024-04-09 07:05:23,1139.0,,28.0,10.0,39.0,6.0,32.0,362.0,,,,Django app for user friendly querying of Django models.,36.0,36.0,10.0,https://pypi.org/project/django-data-browser,4412.0,4412.0,18,True,1.0,,,,,,
160,django-bulma,timonweb/django-bulma,django-bulma,[],mvt-bulma-css-framework-integration,https://github.com/timonweb/django-bulma,https://github.com/timonweb/django-bulma,MIT,2017-08-16 16:10:14,2024-07-09 19:26:41,2024-06-26 09:43:36,131.0,,55.0,15.0,43.0,5.0,38.0,343.0,,,,Bulma theme for Django.,527.0,527.0,15.0,https://pypi.org/project/django-bulma,4534.0,4534.0,18,True,1.0,,,,,,
161,django-oauth2-provider,caffeinehit/django-oauth2-provider,django-oauth2-provider,[],authentication-authorization,https://github.com/caffeinehit/django-oauth2-provider,https://github.com/caffeinehit/django-oauth2-provider,MIT,2012-01-18 17:05:36,2024-08-12 23:29:21,2023-02-03 07:57:29,208.0,,185.0,25.0,92.0,40.0,25.0,336.0,,,,Provide OAuth2 access to your app.,,,16.0,https://pypi.org/project/django-oauth2-provider,8899.0,8899.0,18,True,3.0,,,,,,
162,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,,2014-03-12 04:43:00,2024-04-15 10:40:23,2022-10-25 08:26:59,123.0,,94.0,29.0,66.0,19.0,20.0,202.0,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,375.0,375.0,32.0,https://pypi.org/project/django-fsm-admin,16826.0,16826.0,18,True,3.0,,,,,,
163,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,BSD-3-Clause,2015-05-25 18:10:29,2024-05-09 01:48:26,2019-05-10 16:41:45,129.0,,66.0,6.0,24.0,9.0,7.0,194.0,,,,Fernet symmetric encryption for Django model fields.,720.0,720.0,9.0,https://pypi.org/project/django-fernet-fields,26360.0,26360.0,18,False,1.0,,,,,,
164,django-improved-user,jambonsw/django-improved-user,django-improved-user,[],custom-user,https://github.com/jambonrose/django-improved-user,https://github.com/jambonrose/django-improved-user,BSD-2-Clause,2016-10-25 02:00:47,2025-02-17 18:34:37,2024-08-08 13:18:10,128.0,,13.0,3.0,311.0,,10.0,150.0,2024-08-06 20:41:37,2.1.0,8.0,A custom Django user that authenticates via email. Follows identity and authentication best practices.,44.0,44.0,8.0,https://pypi.org/project/django-improved-user,3184.0,3184.0,18,True,3.0,jambonrose/django-improved-user,,,,,
165,django-phone-field,VeryApt/django-phone-field,django-phone-field,[],fields-phone-numbers,https://github.com/VeryApt/django-phone-field,https://github.com/VeryApt/django-phone-field,GPL-3.0,2018-02-22 21:40:32,2020-06-10 01:16:07,2020-06-10 01:10:54,35.0,,13.0,4.0,4.0,4.0,11.0,51.0,2020-06-10 01:16:07,1.8.1,8.0,Lightweight model and form field for phone numbers in Django.,3191.0,3191.0,4.0,https://pypi.org/project/django-phone-field,26508.0,26508.0,18,True,3.0,,,,,,
166,shynet,milesmcc/shynet,shynet,[],analytics-framework,https://github.com/milesmcc/shynet,https://github.com/milesmcc/shynet,Apache-2.0,2020-04-09 17:51:58,2024-12-19 05:45:00,2024-12-19 05:45:00,517.0,1.0,196.0,27.0,147.0,50.0,145.0,2991.0,2023-07-28 03:19:15,0.13.1,37.0,"Modern, privacy-friendly, and detailed web analytics that works without cookies or JS.",,,38.0,https://pypi.org/project/shynet,,,17,True,1.0,,,,,,
167,django-sendsms,stefanfoulis/django-sendsms,django-sendsms,[],messaging,https://github.com/stefanfoulis/django-sendsms,https://github.com/stefanfoulis/django-sendsms,MIT,2011-08-10 06:40:48,2024-01-28 06:18:00,2021-12-27 22:42:18,132.0,,90.0,15.0,38.0,5.0,19.0,259.0,,,,A simple API to send SMS messages. It is modeled after the django email api.,383.0,383.0,19.0,https://pypi.org/project/django-sendsms,4107.0,4107.0,17,True,2.0,,,,,,
168,django-audit-log,vvangelovski/django-audit-log,django-audit-log,[],fields-versioning,https://github.com/vvangelovski/django-audit-log,https://github.com/vvangelovski/django-audit-log,,2011-02-25 12:40:16,2024-01-05 17:57:30,2018-03-12 09:11:28,102.0,,84.0,8.0,30.0,27.0,16.0,232.0,2015-01-23 12:59:33,0.6.0,2.0,Audit log for your Django models.,259.0,259.0,10.0,https://pypi.org/project/django-audit-log,2369.0,2369.0,17,False,3.0,,,,,,
169,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,MIT,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13.0,15.0,13.0,2.0,12.0,93.0,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",98.0,98.0,9.0,https://pypi.org/project/django-mirage-field,15758.0,15758.0,17,True,2.0,,,,,,
170,django-rest-pandas,wq/django-rest-pandas,django-rest-pandas,[],restful-api-drf,https://github.com/wq/django-rest-pandas,https://github.com/wq/django-rest-pandas,MIT,2014-01-08 00:20:37,2024-07-05 09:56:33,2024-04-04 16:54:21,207.0,,121.0,49.0,13.0,8.0,32.0,1258.0,2019-03-28 04:18:00,1.1.0,12.0,Serves up Pandas dataframes via the Django REST Framework for use in client-side (i.e. d3.js) visualizations and..,,,3.0,https://pypi.org/project/django-rest-pandas,,,16,True,3.0,,,,,,
171,mixer,klen/mixer,mixer,[],example-data,https://github.com/klen/mixer,https://github.com/klen/mixer,,2013-05-19 13:49:50,2024-03-08 09:29:07,2022-03-23 14:37:36,860.0,,93.0,11.0,110.0,38.0,49.0,944.0,,,,"Mixer -- Is a fixtures replacement. Supported Django, Flask, SqlAlchemy and custom python objects.",,,43.0,https://pypi.org/project/mixer,157113.0,157113.0,16,True,3.0,,,,,,
172,falco,Tobi-De/falco,falco,[],project-templates,https://github.com/falcopackages/falco-cli,https://github.com/falcopackages/falco-cli,,2023-12-15 15:05:56,2024-12-31 09:14:42,2024-12-31 09:14:42,577.0,12.0,19.0,8.0,44.0,4.0,62.0,384.0,2024-10-01 12:12:17,0.26.4,57.0,Enhance your Django developer experience: CLI and Guides for the Modern Django Developer.,16.0,16.0,8.0,https://pypi.org/project/falco,119.0,119.0,16,True,2.0,falcopackages/falco-cli,,,,,
173,django-scopes,raphaelm/django-scopes,django-scopes,[],multiple-tenants,https://github.com/raphaelm/django-scopes,https://github.com/raphaelm/django-scopes,Apache-2.0,2019-05-10 11:27:07,2023-07-17 06:51:20,2023-06-12 08:26:02,42.0,,15.0,12.0,16.0,12.0,7.0,235.0,,,,Safely separate multiple tenants in a Django database.,108.0,108.0,6.0,https://pypi.org/project/django-scopes,12965.0,12965.0,16,True,3.0,,,,,,
174,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,,10.0,8.0,8.0,3.0,14.0,112.0,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,318.0,318.0,5.0,https://pypi.org/project/django-fieldsignals,34850.0,34850.0,16,True,3.0,,,,,,
175,Lithium,wsvincent/lithium,,[],project-templates,https://github.com/wsvincent/lithium,https://github.com/wsvincent/lithium,,2018-02-15 17:29:07,2025-02-24 15:57:43,2025-02-24 15:57:40,178.0,9.0,416.0,65.0,109.0,2.0,43.0,2287.0,,,,Django starter project with.,,,21.0,,,,15,True,2.0,,,,,,
176,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2023-08-04 12:56:33,2023-08-04 12:55:59,62.0,,39.0,12.0,13.0,4.0,8.0,446.0,,,,Keep track of your statistics.,28.0,28.0,9.0,https://pypi.org/project/django-trackstats,2149.0,2149.0,15,True,1.0,,,,,,
177,pytailwindcss,timonweb/pytailwindcss,pytailwindcss,[],mvt-tailwind-css-framework-integration,https://github.com/timonweb/pytailwindcss,https://github.com/timonweb/pytailwindcss,MIT,2021-12-19 22:49:26,2023-06-23 21:23:14,2023-06-23 21:22:46,27.0,,9.0,6.0,2.0,5.0,7.0,333.0,,,,,426.0,426.0,2.0,https://pypi.org/project/pytailwindcss,14098.0,14098.0,15,False,3.0,,,,,,
178,django-flexible-subscriptions,studybuffalo/django-flexible-subscriptions,django-flexible-subscriptions,[],payment-subscriptions,https://github.com/studybuffalo/django-flexible-subscriptions,https://github.com/studybuffalo/django-flexible-subscriptions,GPL-3.0,2018-11-26 05:05:05,2024-06-21 14:11:55,2020-09-11 20:55:19,197.0,,53.0,4.0,268.0,27.0,23.0,251.0,,,,A subscription and recurrent billing application for Django.,30.0,30.0,14.0,https://pypi.org/project/django-flexible-subscriptions,580.0,580.0,15,True,3.0,,,,,,
179,django-fastdev,boxed/django-fastdev,django-fastdev,[],development,https://github.com/boxed/django-fastdev,https://github.com/boxed/django-fastdev,BSD-3-Clause,2020-08-07 11:45:15,2024-12-31 12:22:49,2024-12-31 12:22:49,122.0,2.0,15.0,9.0,22.0,16.0,18.0,182.0,,,,"An app to make it safer, faster and more fun to develop in Django.",99.0,99.0,11.0,https://pypi.org/project/django-fastdev,12786.0,12786.0,15,True,3.0,,,-2.0,,,
180,django-bitcoin,kangasbros/django-bitcoin,django-bitcoin,[],payment-subscriptions,https://github.com/kangasbros/django-bitcoin,https://github.com/kangasbros/django-bitcoin,MIT,2011-07-08 14:04:32,2014-09-15 06:46:34,2014-09-15 06:46:33,462.0,,95.0,32.0,25.0,11.0,7.0,180.0,,,,bitcoin payment management for django.,20.0,20.0,18.0,https://pypi.org/project/django-bitcoin,58.0,58.0,15,False,3.0,,,,,,
181,django-prbac,dimagi/django-prbac,django-prbac,[],authentication-authorization,https://github.com/dimagi/django-prbac,https://github.com/dimagi/django-prbac,,2013-10-17 18:31:58,2023-12-13 21:26:13,2023-12-13 21:26:10,194.0,,38.0,39.0,55.0,4.0,17.0,141.0,2020-03-06 22:55:21,0.0.8,1.0,,15.0,15.0,23.0,https://pypi.org/project/django-prbac,4333.0,4333.0,15,False,3.0,,,,,,
