,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
126,pinax-stripe-light,pinax/pinax-stripe-light,pinax-stripe-light,[],payment-subscriptions,https://github.com/pinax/pinax-stripe-light,https://github.com/pinax/pinax-stripe-light,MIT,2012-08-18 15:39:19,2022-08-18 20:07:37,2021-11-28 01:59:11,1502.0,,269.0,32.0,348.0,68.0,229.0,689,2021-11-28 02:09:03,5.0.0,9.0,a payments Django app for Stripe.,,,72.0,https://pypi.org/project/pinax-stripe-light,616.0,616.0,21,True,2.0,,,,,,
127,django-autofixture,gregmuellegger/django-autofixture,django-autofixture,[],example-data,https://github.com/gregmuellegger/django-autofixture,https://github.com/gregmuellegger/django-autofixture,BSD-3-Clause,2010-08-24 18:39:29,2024-06-22 18:12:25,2017-03-03 07:13:17,343.0,,88.0,15.0,64.0,19.0,37.0,461,,,,Can create auto-generated test data.,867.0,867.0,34.0,https://pypi.org/project/django-autofixture,2543.0,2543.0,21,False,2.0,,,,,,
128,django-dynamic-fixture,paulocheque/django-dynamic-fixture,django-dynamic-fixture,[],fake-data,https://github.com/paulocheque/django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,,2012-04-04 22:54:41,2024-10-10 11:01:49,2024-10-10 11:01:49,437.0,,62.0,19.0,95.0,6.0,64.0,389,,,,A complete library to create dynamic model instances for testing purposes.,1238.0,1238.0,37.0,https://pypi.org/project/django-dynamic-fixture,69442.0,69442.0,21,True,3.0,,,,,,
129,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,MIT,2020-01-15 16:36:01,2024-08-06 13:07:28,2022-06-17 09:46:13,276.0,,103.0,21.0,62.0,61.0,44.0,334,,,,Django registration and authentication with GraphQL.,736.0,736.0,16.0,https://pypi.org/project/django-graphql-auth,8288.0,8288.0,21,True,3.0,,,,,,
130,django-google-maps,madisona/django-google-maps,django-google-maps,[],fields-addresses,https://github.com/madisona/django-google-maps,https://github.com/madisona/django-google-maps,BSD-2-Clause,2010-12-31 14:47:45,2024-03-03 01:07:44,2022-03-22 11:44:40,82.0,,95.0,19.0,46.0,12.0,35.0,282,2022-03-22 11:47:01,0.13.0,3.0,Using the Google Maps API with django model admin.,686.0,686.0,19.0,https://pypi.org/project/django-google-maps,14209.0,14209.0,21,True,3.0,,,,,,
131,django-tailwind-cli,oliverandrich/django-tailwind-cli,django-tailwind-cli,[],mvt-tailwind-css-framework-integration,https://github.com/django-commons/django-tailwind-cli,https://github.com/django-commons/django-tailwind-cli,MIT,2022-10-23 16:09:40,2025-02-10 18:45:34,2025-02-10 18:45:29,470.0,32.0,14.0,6.0,118.0,1.0,27.0,118,2025-02-10 16:19:59,4.0.1,13.0,Django and Tailwind integration based on the prebuilt Tailwind CSS CLI.,51.0,51.0,14.0,https://pypi.org/project/django-tailwind-cli,7324.0,7330.0,21,True,3.0,django-commons/django-tailwind-cli,25.0,,,,
132,saas-boilerplate,apptension/saas-boilerplate,,[],project-templates,https://github.com/apptension/saas-boilerplate,https://github.com/apptension/saas-boilerplate,MIT,2020-04-14 09:31:26,2025-02-11 10:28:48,2025-02-10 12:47:28,984.0,16.0,304.0,20.0,457.0,42.0,147.0,2391,2024-09-27 11:30:40,4.1.1,24.0,"SaaS Boilerplate - Open Source and free SaaS stack that lets you build SaaS products faster in React, Django and AWS...",,,41.0,,,,20,True,1.0,,,,,,
133,aiosmtpd,aio-libs/aiosmtpd,aiosmtpd,[],emails,https://github.com/aio-libs/aiosmtpd,https://github.com/aio-libs/aiosmtpd,Apache-2.0,2016-07-14 13:51:17,2025-02-10 16:53:51,2024-12-01 16:59:22,847.0,1.0,92.0,13.0,341.0,64.0,114.0,329,2024-05-18 11:37:43,1.4.6,16.0,A reimplementation of the Python stdlib smtpd.py based on asyncio.,,,43.0,https://pypi.org/project/aiosmtpd,386797.0,386804.0,20,True,3.0,,554.0,,,,
134,django-oscar-paypal,django-oscar/django-oscar-paypal,django-oscar-paypal,[],payment-subscriptions,https://github.com/django-oscar/django-oscar-paypal,https://github.com/django-oscar/django-oscar-paypal,BSD-3-Clause,2012-03-23 16:51:01,2023-11-01 11:25:26,2023-09-01 09:54:25,540.0,,195.0,34.0,203.0,23.0,69.0,165,,,,PayPal integration for django-oscar. Can be used without Oscar too.,161.0,161.0,51.0,https://pypi.org/project/django-oscar-paypal,914.0,914.0,20,True,2.0,,,,,,
135,wireup,maldoinc/wireup,wireup,[],dependency-injection,https://github.com/maldoinc/wireup,https://github.com/maldoinc/wireup,MIT,2023-08-19 22:09:32,2025-02-09 18:03:43,2025-02-09 18:03:39,498.0,34.0,9.0,4.0,12.0,18.0,26.0,117,2025-01-29 20:24:37,0.16.0,25.0,"Performant, concise, and easy-to-use dependency injection container for Python 3.8+.",11.0,11.0,4.0,https://pypi.org/project/wireup,3419.0,3419.0,20,True,3.0,,,,,,
