,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
68,django-dynamic-fixture,paulocheque/django-dynamic-fixture,django-dynamic-fixture,[],fake-data,https://github.com/paulocheque/django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,2012-04-04 22:54:41,2022-09-02 16:54:16,2022-09-02 16:54:16,405.0,,59.0,18.0,85.0,6.0,61.0,376,,,,A complete library to create dynamic model instances for testing purposes.,1088.0,1088.0,36.0,https://pypi.org/project/django-dynamic-fixture,61935.0,61935.0,21,True,3,,,,,,
69,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,2019-12-20 10:25:27,2023-06-16 08:37:56,2023-06-16 08:36:33,187.0,1.0,19.0,8.0,78.0,4.0,20.0,355,2023-06-16 08:37:56,3.3.1,16.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",94.0,94.0,8.0,https://pypi.org/project/django-guid,66860.0,66860.0,21,True,1,MIT,,,,,
70,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,2020-01-15 16:36:01,2023-05-15 20:51:13,2022-06-17 09:46:13,276.0,,95.0,20.0,60.0,60.0,44.0,315,,,,Django registration and authentication with GraphQL.,600.0,600.0,16.0,https://pypi.org/project/django-graphql-auth,8633.0,8633.0,21,True,3,MIT,,,,,
71,django-google-maps,madisona/django-google-maps,django-google-maps,[],fields-addresses,https://github.com/madisona/django-google-maps,https://github.com/madisona/django-google-maps,2010-12-31 14:47:45,2022-12-22 16:49:58,2022-03-22 11:44:40,82.0,,92.0,18.0,45.0,12.0,34.0,273,2022-03-22 11:47:01,0.13.0,3.0,Using the Google Maps API with django model admin.,572.0,572.0,19.0,https://pypi.org/project/django-google-maps,8896.0,8896.0,21,True,2,BSD-2-Clause,,,,,
72,django-bootstrap-v5,zelenij/django-bootstrap-v5,django-bootstrap-v5,[],mvt-css-framework-integration,https://github.com/zelenij/django-bootstrap-v5,https://github.com/zelenij/django-bootstrap-v5,2020-12-10 11:47:38,2022-07-18 23:18:59,2022-07-18 23:18:59,936.0,,42.0,4.0,11.0,7.0,14.0,86,,,,Bootstrap 5 integration with Django.,4859.0,4859.0,138.0,https://pypi.org/project/django-bootstrap-v5,31226.0,31226.0,21,True,3,BSD-3-Clause,,,,,
73,django-ninja-jwt,eadwinCode/django-ninja-jwt,django-ninja-jwt,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,2021-10-24 07:51:40,2023-06-27 07:52:30,2023-06-09 11:06:23,643.0,3.0,7.0,4.0,28.0,,,58,2023-03-18 09:23:28,5.2.5,13.0,A JSON Web Token authentication plugin for the Django REST Framework.,66.0,66.0,78.0,https://pypi.org/project/django-ninja-jwt,10134.0,10134.0,21,True,2,MIT,,,,,
74,django-admin-sortable,jazzband/django-admin-sortable,django-admin-sortable,[],admin-interface-actions,https://github.com/jazzband/django-admin-sortable,https://github.com/jazzband/django-admin-sortable,2011-08-31 19:31:13,2023-04-21 08:57:53,2022-03-13 00:03:22,621.0,,130.0,16.0,121.0,8.0,132.0,542,,,,Generic drag-and-drop ordering for objects and tabular inlines in Django Admin.,635.0,635.0,80.0,https://pypi.org/project/django-admin-sortable,74987.0,74987.0,20,True,3,,,,,,
75,django-autofixture,gregmuellegger/django-autofixture,django-autofixture,[],example-data,https://github.com/gregmuellegger/django-autofixture,https://github.com/gregmuellegger/django-autofixture,2010-08-24 18:39:29,2022-09-15 15:01:25,2017-03-03 07:13:17,343.0,,84.0,16.0,62.0,19.0,37.0,459,,,,Can create auto-generated test data.,833.0,833.0,34.0,https://pypi.org/project/django-autofixture,2244.0,2244.0,20,False,2,BSD-3-Clause,,,,,
76,djantic,jordaneremieff/djantic,djantic,[],pydantic-integration,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120.0,,27.0,7.0,36.0,11.0,27.0,356,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,54.0,54.0,4.0,https://pypi.org/project/djantic,11860.0,11860.0,20,True,3,MIT,,,,,
77,django-fernet-fields,orcasgit/django-fernet-fields,django-fernet-fields,[],encrpyted-fields,https://github.com/orcasgit/django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,2015-05-25 18:10:29,2023-06-06 11:55:29,2019-05-10 16:41:45,129.0,,54.0,6.0,19.0,10.0,6.0,182,,,,Fernet symmetric encryption for Django model fields.,605.0,605.0,9.0,https://pypi.org/project/django-fernet-fields,84725.0,84725.0,20,True,1,BSD-3-Clause,,,,,
