,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
51,django-address,furious-luke/django-address,django-address,[],fields-addresses,https://github.com/furious-luke/django-address,https://github.com/furious-luke/django-address,BSD-3-Clause,2011-04-16 01:58:58,2022-08-11 15:37:13,2022-05-05 01:23:36,216.0,,148.0,19.0,63.0,39.0,84.0,383.0,2022-05-06 20:00:17,0.2.8,7.0,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,335.0,335.0,22.0,https://pypi.org/project/django-address,8200.0,8200.0,23,True,1,,,,,
52,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,MIT,2013-10-30 03:15:55,2022-12-26 19:13:52,2022-12-20 07:18:40,298.0,7.0,66.0,8.0,108.0,9.0,31.0,201.0,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,109.0,109.0,26.0,https://pypi.org/project/django-fsm-log,18156.0,18156.0,23,True,2,,,,,
53,django-easy-audit,soynatan/django-easy-audit,django-easy-audit,[],fields-versioning,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,GPL-3.0,2016-10-23 06:55:16,2022-12-02 20:21:07,2022-09-04 03:26:19,259.0,,134.0,16.0,119.0,57.0,68.0,511.0,2022-06-30 20:42:07,1.3.3,46.0,"Yet another Django audit log app, hopefully the simplest one.",163.0,163.0,41.0,https://pypi.org/project/django-easy-audit,22263.0,22263.0,22,True,3,,,,,
54,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,,2019-10-08 12:49:08,2023-01-02 08:01:10,2023-01-02 08:01:09,273.0,29.0,71.0,12.0,262.0,21.0,93.0,632.0,2022-10-24 06:11:08,1.9.0,10.0,Object factory for Django.,,,42.0,https://pypi.org/project/model_bakery,204345.0,204345.0,21,True,3,,,,,
55,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,BSD-3-Clause,2019-12-20 10:25:27,2022-12-09 10:41:13,2022-12-09 10:40:59,186.0,10.0,15.0,8.0,71.0,1.0,19.0,303.0,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",59.0,59.0,8.0,https://pypi.org/project/django-guid,34608.0,34608.0,21,True,1,,,,,
56,django-google-maps,madisona/django-google-maps,django-google-maps,[],fields-addresses,https://github.com/madisona/django-google-maps,https://github.com/madisona/django-google-maps,BSD-2-Clause,2010-12-31 14:47:45,2022-12-22 16:49:58,2022-03-22 11:44:40,82.0,,90.0,18.0,45.0,12.0,34.0,267.0,2022-03-22 11:47:01,0.13.0,3.0,Using the Google Maps API with django model admin.,503.0,503.0,19.0,https://pypi.org/project/django-google-maps,5037.0,5037.0,21,True,2,,,True,,
57,django-slack,lamby/django-slack,django-slack,[],messaging,https://github.com/lamby/django-slack,https://github.com/lamby/django-slack,BSD-3-Clause,2014-12-10 20:34:18,2022-09-02 07:58:43,2022-09-02 07:57:38,269.0,,54.0,7.0,52.0,8.0,54.0,227.0,,,,"Slack integration for Django, using the templating engine to generate messages.",304.0,304.0,27.0,https://pypi.org/project/django-slack,39316.0,39316.0,21,True,1,,,,,
58,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,MIT,2020-01-15 16:36:01,2022-06-17 09:46:13,2022-06-17 09:46:13,276.0,,81.0,20.0,56.0,60.0,44.0,301.0,,,,Django registration and authentication with GraphQL.,523.0,523.0,16.0,https://pypi.org/project/django-graphql-auth,9448.0,9448.0,20,True,3,,,,,
59,django-controlcenter,byashimov/django-controlcenter,django-controlcenter,[],admin-interface,https://github.com/byashimov/django-controlcenter,https://github.com/byashimov/django-controlcenter,BSD-3-Clause,2016-03-01 15:35:59,2022-01-22 03:55:31,2022-01-22 03:47:01,188.0,,84.0,48.0,34.0,10.0,21.0,936.0,,,,Set of widgets to build dashboards for Django projects.,80.0,80.0,17.0,https://pypi.org/project/django-controlcenter,2067.0,2067.0,19,True,3,,,,,
60,django-dirtyfields,romgar/django-dirtyfields,django-dirtyfields,[],fields-versioning,https://github.com/romgar/django-dirtyfields,https://github.com/romgar/django-dirtyfields,BSD-3-Clause,2010-09-09 06:54:09,2023-01-04 13:35:34,2022-11-07 12:22:50,591.0,4.0,97.0,13.0,139.0,12.0,57.0,571.0,,,,Tracking dirty fields on a Django model.,,,40.0,https://pypi.org/project/django-dirtyfields,82494.0,82494.0,19,True,3,,,,,
