,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,updated_github_id,new_addition,gitlab_id,gitlab_url
65,django-multitenant,citusdata/django-multitenant,django-multitenant,[],multiple-tenants,https://github.com/citusdata/django-multitenant,https://github.com/citusdata/django-multitenant,2017-05-19 05:23:40,2023-12-30 21:02:49,2023-12-18 07:34:54,296.0,4.0,104.0,41.0,123.0,31.0,56.0,661,2023-09-26 15:28:27,4.0.0,15.0,Python/Django support for distributed multi-tenant databases like Postgres+Citus.,60.0,60.0,25.0,https://pypi.org/project/django-multitenant,15777.0,15777.0,25,True,3,MIT,,,,,,
66,django-easy-audit,soynatan/django-easy-audit,django-easy-audit,[],fields-versioning,https://github.com/soynatan/django-easy-audit,https://github.com/soynatan/django-easy-audit,2016-10-23 06:55:16,2023-12-06 03:33:55,2023-12-06 03:33:09,284.0,10.0,152.0,16.0,131.0,62.0,72.0,613,2023-06-13 14:40:10,1.3.5,52.0,"Yet another Django audit log app, hopefully the simplest one.",218.0,218.0,46.0,https://pypi.org/project/django-easy-audit,33193.0,33193.0,25,True,3,GPL-3.0,,,,,,
67,django-otp,django-otp/django-otp,django-otp,[],authentication-authorization,https://github.com/django-otp/django-otp,https://github.com/django-otp/django-otp,2019-08-22 17:57:17,2023-12-21 19:47:11,2023-11-17 21:24:11,265.0,7.0,88.0,12.0,63.0,9.0,60.0,471,,,,A pluggable framework for adding two-factor authentication to Django using one-time passwords.,2495.0,2495.0,46.0,https://pypi.org/project/django-otp,620194.0,620194.0,25,True,3,Unlicense,,,,,,
68,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,2019-11-21 14:10:42,2023-12-25 07:34:22,2023-12-25 07:34:19,420.0,18.0,31.0,9.0,352.0,13.0,48.0,471,2023-04-29 15:21:09,1.3.0,7.0,"Test django schema and data migrations, including migrations order and best practices.",659.0,659.0,18.0,https://pypi.org/project/django-test-migrations,94758.0,94758.0,25,True,3,MIT,,,,,,
69,django-rest-passwordreset,anexia-it/django-rest-passwordreset,django-rest-passwordreset,[],restful-api-drf,https://github.com/anexia-it/django-rest-passwordreset,https://github.com/anexia-it/django-rest-passwordreset,2017-03-13 19:06:30,2023-10-19 12:07:55,2023-10-13 13:52:13,161.0,3.0,132.0,9.0,83.0,29.0,73.0,399,2022-09-15 12:29:55,1.3.0,18.0,"An extension of django rest framework, providing a configurable password reset strategy.",3091.0,3091.0,35.0,https://pypi.org/project/django-rest-passwordreset,224127.0,224127.0,25,True,3,BSD-3-Clause,,,,,,
70,factory_boy,FactoryBoy/factory_boy,factory_boy,[],testing,https://github.com/FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,2011-05-11 08:26:59,2023-12-29 17:39:35,2023-12-21 13:05:26,996.0,6.0,366.0,41.0,492.0,168.0,395.0,3267,,,,A test fixtures replacement for Python.,,,129.0,https://pypi.org/project/factory_boy,2834337.0,2834337.0,24,True,3,MIT,,,,,,
71,django-celery-beat,celery/django-celery-beat,django-celery-beat,[],task-queues,https://github.com/celery/django-celery-beat,https://github.com/celery/django-celery-beat,2016-08-03 22:34:19,2023-12-21 13:21:05,2023-12-19 21:05:29,369.0,9.0,391.0,45.0,272.0,86.0,304.0,1478,2023-03-14 10:02:48,2.5.0,14.0,Celery Periodic Tasks backed by the Django ORM.,,,113.0,https://pypi.org/project/django-celery-beat,1084542.0,1084542.0,24,True,3,,-6.0,,,,,
72,django-tailwind,timonweb/django-tailwind,django-tailwind,[],mvt-css-framework-integration,https://github.com/timonweb/django-tailwind,https://github.com/timonweb/django-tailwind,2019-04-11 19:49:28,2023-12-22 14:02:47,2023-12-22 14:02:18,302.0,23.0,83.0,16.0,49.0,11.0,131.0,1232,,,,Django + Tailwind CSS =.,2879.0,2879.0,19.0,https://pypi.org/project/django-tailwind,49929.0,49929.0,24,True,3,MIT,,,,,,
73,django-payments,jazzband/django-payments,django-payments,[],payment-subscriptions,https://github.com/jazzband/django-payments,https://github.com/jazzband/django-payments,2010-09-30 14:17:47,2023-12-25 17:36:24,2023-12-25 12:11:42,872.0,19.0,255.0,42.0,236.0,57.0,102.0,934,2021-02-01 11:27:35,0.14.0,29.0,Universal payment handling for Django.,523.0,523.0,57.0,https://pypi.org/project/django-payments,7557.0,7557.0,24,True,2,,,21.0,,,,
74,django-baton,otto-torino/django-baton,django-baton,[],admin-interface,https://github.com/otto-torino/django-baton,https://github.com/otto-torino/django-baton,2017-02-10 12:54:24,2023-11-02 21:52:05,2023-10-20 09:10:06,874.0,4.0,86.0,14.0,98.0,7.0,165.0,800,2023-08-11 09:48:33,2.8.0,42.0,"A cool, modern and responsive django admin application based on bootstrap 5 - https://otto-torino.github.io/tag/baton/.",347.0,347.0,15.0,https://pypi.org/project/django-baton,6844.0,6844.0,24,True,3,MIT,,,,,,
75,django-address,furious-luke/django-address,django-address,[],fields-addresses,https://github.com/furious-luke/django-address,https://github.com/furious-luke/django-address,2011-04-16 01:58:58,2023-10-13 21:23:29,2022-05-05 01:23:36,216.0,,157.0,20.0,68.0,41.0,84.0,419,2022-05-06 20:00:17,0.2.8,7.0,A Django address model and field. Addresses may be specified by address components or by performing an automatic..,395.0,395.0,22.0,https://pypi.org/project/django-address,8790.0,8790.0,24,True,1,BSD-3-Clause,,,,,,
76,django-compressor,django-compressor/django-compressor,django-compressor,[],templates,https://github.com/django-compressor/django-compressor,https://github.com/django-compressor/django-compressor,2010-02-05 15:48:14,2023-12-13 17:08:12,2023-12-13 17:08:11,1621.0,4.0,554.0,50.0,551.0,110.0,540.0,2732,,,,Compresses linked and inline javascript or CSS into a single cached file.,,,217.0,https://pypi.org/project/django-compressor,372611.0,372611.0,23,True,3,,,,,,,
77,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2023-09-23 12:09:46,2021-08-18 22:32:03,7104.0,,1021.0,120.0,2191.0,145.0,291.0,2110,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,145.0,145.0,67.0,https://pypi.org/project/shuup,977.0,988.0,23,True,3,,,583.0,,,,
78,django-admin-tools,django-admin-tools/django-admin-tools,django-admin-tools,[],admin-interface,https://github.com/django-admin-tools/django-admin-tools,https://github.com/django-admin-tools/django-admin-tools,2015-06-20 11:09:46,2023-08-10 12:40:54,2023-08-10 12:40:07,570.0,,112.0,25.0,49.0,18.0,61.0,809,,,,Extends the Django Admin to include a extensible dashboard and navigation menu.,1425.0,1425.0,82.0,https://pypi.org/project/django-admin-tools,43597.0,43597.0,23,True,3,MIT,,,,,,
79,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,2020-02-12 10:59:54,2024-01-01 00:09:18,2023-12-18 18:01:44,286.0,18.0,26.0,7.0,91.0,3.0,23.0,414,2023-12-05 22:52:25,0.11.0,21.0,config and manage typed extra settings using just the django admin.,70.0,70.0,12.0,https://pypi.org/project/django-extra-settings,7477.0,7477.0,23,True,3,MIT,,,,,,
80,django-mailbox,coddingtonbear/django-mailbox,django-mailbox,[],emails,https://github.com/coddingtonbear/django-mailbox,https://github.com/coddingtonbear/django-mailbox,2012-06-27 15:58:50,2023-12-27 13:17:46,2023-12-27 13:17:46,527.0,22.0,153.0,22.0,124.0,20.0,132.0,328,,,,"Import mail from POP3, IMAP, local email mailboxes or directly from Postfix or Exim4 into your Django application..",169.0,169.0,49.0,https://pypi.org/project/django-mailbox,6839.0,6839.0,23,True,3,MIT,2.0,,,,,
81,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,2013-10-30 03:15:55,2023-12-25 17:36:12,2023-04-26 07:27:58,353.0,,70.0,10.0,139.0,11.0,34.0,229,2023-03-23 15:57:13,3.1.1,11.0,Automatic logging for Django FSM.,136.0,136.0,26.0,https://pypi.org/project/django-fsm-log,33393.0,33393.0,23,True,2,MIT,,,,,,
82,django-browser-reload,adamchainz/django-browser-reload,django-browser-reload,[],development,https://github.com/adamchainz/django-browser-reload,https://github.com/adamchainz/django-browser-reload,2021-12-14 23:01:24,2023-12-31 11:30:59,2023-12-31 11:30:58,258.0,24.0,20.0,5.0,204.0,12.0,20.0,402,,,,Automatically reload your browser in development.,2811.0,2811.0,6.0,https://pypi.org/project/django-browser-reload,65533.0,65533.0,22,True,1,MIT,,,,True,,
83,django-minio-storage,py-pa/django-minio-storage,django-minio-storage,[],storage,https://github.com/py-pa/django-minio-storage,https://github.com/py-pa/django-minio-storage,2016-07-11 10:36:18,2023-12-19 06:54:50,2023-12-19 06:54:50,227.0,1.0,49.0,7.0,57.0,11.0,71.0,140,2023-08-30 20:53:31,0.5.7,8.0,A django storage driver for minio.,230.0,230.0,18.0,https://pypi.org/project/django-minio-storage,22520.0,22520.0,22,True,3,MIT,,,,,,
84,django-bootstrap-v5,zelenij/django-bootstrap-v5,django-bootstrap-v5,[],mvt-css-framework-integration,https://github.com/zelenij/django-bootstrap-v5,https://github.com/zelenij/django-bootstrap-v5,2020-12-10 11:47:38,2022-07-18 23:18:59,2022-07-18 23:18:59,936.0,,41.0,4.0,11.0,8.0,14.0,99,,,,Bootstrap 5 integration with Django.,6684.0,6684.0,138.0,https://pypi.org/project/django-bootstrap-v5,86911.0,86911.0,22,True,3,BSD-3-Clause,,,,,,
85,django-ninja-jwt,eadwinCode/django-ninja-jwt,django-ninja-jwt,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-jwt,https://github.com/eadwinCode/django-ninja-jwt,2021-10-24 07:51:40,2023-12-15 08:38:30,2023-12-15 08:38:30,665.0,20.0,14.0,6.0,41.0,5.0,8.0,89,2023-11-24 09:37:38,5.2.10,17.0,A JSON Web Token authentication plugin for the Django REST Framework.,107.0,107.0,81.0,https://pypi.org/project/django-ninja-jwt,14701.0,14701.0,22,True,2,MIT,,,,,,
86,pinax-stripe-light,pinax/pinax-stripe-light,pinax-stripe-light,[],payment-subscriptions,https://github.com/pinax/pinax-stripe-light,https://github.com/pinax/pinax-stripe-light,2012-08-18 15:39:19,2022-08-18 20:07:37,2021-11-28 01:59:11,1502.0,,270.0,32.0,348.0,68.0,229.0,678,2021-11-28 02:09:03,5.0.0,9.0,a payments Django app for Stripe.,,,72.0,https://pypi.org/project/pinax-stripe-light,262.0,262.0,21,True,2,MIT,,,,,,
87,django-getpaid,django-getpaid/django-getpaid,django-getpaid,[],payment-subscriptions,https://github.com/django-getpaid/django-getpaid,https://github.com/django-getpaid/django-getpaid,2012-07-15 15:11:34,2021-12-12 18:31:41,2021-12-12 18:31:33,405.0,,105.0,21.0,93.0,3.0,58.0,438,2020-04-19 09:05:46,2.0.0,6.0,Django payments processor.,46.0,46.0,30.0,https://pypi.org/project/django-getpaid,463.0,463.0,21,True,2,MIT,,,,,,
88,django-dynamic-fixture,paulocheque/django-dynamic-fixture,django-dynamic-fixture,[],fake-data,https://github.com/paulocheque/django-dynamic-fixture,https://github.com/paulocheque/django-dynamic-fixture,2012-04-04 22:54:41,2023-09-15 22:38:21,2023-09-15 22:36:31,433.0,,61.0,19.0,94.0,5.0,63.0,383,,,,A complete library to create dynamic model instances for testing purposes.,1143.0,1143.0,36.0,https://pypi.org/project/django-dynamic-fixture,60762.0,60762.0,21,True,3,,,,,,,
89,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,2019-12-20 10:25:27,2023-11-20 08:23:00,2023-11-20 08:23:00,188.0,1.0,21.0,8.0,83.0,4.0,20.0,374,2023-06-16 08:37:56,3.3.1,16.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",115.0,115.0,9.0,https://pypi.org/project/django-guid,67616.0,67616.0,21,True,1,MIT,,,,,,
