,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
30,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,2011-09-29 19:35:55,2022-10-21 14:02:35,2022-10-21 14:02:35,1190,4.0,300,36,548,133.0,354.0,1107,2021-12-07 14:56:42,4.5.2,19.0,A Django plugin for pytest.,,,137,https://pypi.org/project/pytest-django,1623364,1623364,25,True,1,2.0,,
31,viewflow,viewflow/viewflow,viewflow,[],finite-state-machine,https://github.com/viewflow/viewflow,https://github.com/viewflow/viewflow,2013-09-10 10:16:35,2022-10-17 05:19:23,2022-07-01 11:17:40,857,,366,105,84,22.0,251.0,2271,2017-05-29 17:10:27,1.0.0,2.0,Reusable workflow library for Django.,241.0,241.0,31,https://pypi.org/project/viewflow,48,48,24,True,2,,AGPL-3.0,
32,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,2020-05-11 19:50:44,2022-10-21 11:35:41,2022-09-13 13:32:02,1008,9.0,179,32,237,69.0,136.0,1131,2022-03-27 08:32:00,2.5.0,27.0,Jazzy theme for Django.,,,58,https://pypi.org/project/django-jazzmin,66442,66442,24,True,3,,MIT,
33,django-organizations,bennylope/django-organizations,django-organizations,[],authorization,https://github.com/bennylope/django-organizations,https://github.com/bennylope/django-organizations,2012-02-02 02:38:49,2022-10-25 22:24:10,2022-10-25 22:20:38,721,20.0,177,35,90,16.0,130.0,1027,2022-10-25 22:24:10,2.1.0,14.0,Multi-user accounts for Django projects.,,,45,https://pypi.org/project/django-organizations,22473,22473,24,True,3,2.0,BSD-2-Clause,
34,shuup,shuup/shuup,shuup,[],ecommerce-framework,https://github.com/shuup/shuup,https://github.com/shuup/shuup,2015-06-03 12:53:21,2022-07-06 19:50:03,2021-08-18 22:32:03,7104,,953,119,2187,140.0,291.0,1944,2021-08-17 18:55:57,2.14.3,100.0,E-Commerce Platform.,114.0,114.0,67,https://pypi.org/project/shuup,1035,1047,23,True,3,-1.0,,497.0
35,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,2020-10-30 17:12:01,2022-10-31 17:04:19,2022-10-31 17:03:05,297,78.0,46,12,88,51.0,64.0,206,2022-10-28 16:42:44,0.7.1,11.0,Strawberry GraphQL Django extension.,,,36,https://pypi.org/project/strawberry-graphql-django,21358,21358,23,True,3,,MIT,
36,django-fsm-log,jazzband/django-fsm-log,django-fsm-log,[],finite-state-machine,https://github.com/jazzband/django-fsm-log,https://github.com/jazzband/django-fsm-log,2013-10-30 03:15:55,2022-10-31 18:41:59,2022-10-18 15:05:33,289,3.0,66,8,104,9.0,31.0,192,2022-01-14 14:21:04,3.0.0,9.0,Automatic logging for Django FSM.,106.0,106.0,24,https://pypi.org/project/django-fsm-log,35259,35259,23,True,3,,MIT,
37,django-split-settings,wemake-services/django-split-settings,django-split-settings,[],configuration,https://github.com/wemake-services/django-split-settings,https://github.com/wemake-services/django-split-settings,2013-05-17 06:04:30,2022-09-27 13:25:56,2022-09-27 12:51:22,456,11.0,57,20,404,4.0,38.0,929,2022-09-27 12:54:00,1.2.0,6.0,Organize Django settings into multiple files and directories. Easily override and modify settings. Use wildcards and..,,,20,https://pypi.org/project/django-split-settings,70958,70958,22,True,3,,BSD-3-Clause,
38,django-graphql-jwt,flavors/django-graphql-jwt,django-graphql-jwt,[],graphql-api,https://github.com/flavors/django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,2017-11-05 15:29:56,2022-10-13 19:39:23,2021-08-11 20:56:04,541,,140,20,94,46.0,168.0,773,2021-08-11 20:57:06,0.3.4,26.0,JSON Web Token (JWT) authentication for Graphene Django.,,,23,https://pypi.org/project/django-graphql-jwt,114850,114850,22,True,3,,MIT,
39,model_bakery,model-bakers/model_bakery,model_bakery,[],testing,https://github.com/model-bakers/model_bakery,https://github.com/model-bakers/model_bakery,2019-10-08 12:49:08,2022-10-31 16:13:08,2022-10-27 07:01:36,256,21.0,69,12,243,20.0,92.0,603,2022-10-24 06:11:08,1.9.0,10.0,Object factory for Django.,,,40,https://pypi.org/project/model_bakery,268672,268672,21,True,3,,,
40,django-test-migrations,wemake-services/django-test-migrations,django-test-migrations,[],testing,https://github.com/wemake-services/django-test-migrations,https://github.com/wemake-services/django-test-migrations,2019-11-21 14:10:42,2022-10-26 07:54:17,2022-10-26 07:54:14,335,19.0,23,9,269,7.0,46.0,362,2021-12-13 22:15:21,1.2.0,6.0,"Test django schema and data migrations, including migrations order and best practices.",,,16,https://pypi.org/project/django-test-migrations,55130,55130,20,True,3,,MIT,
41,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,2020-01-15 16:36:01,2022-06-17 09:46:13,2022-06-17 09:46:13,276,,76,20,56,58.0,44.0,296,,,,Django registration and authentication with GraphQL.,490.0,490.0,16,https://pypi.org/project/django-graphql-auth,11787,11787,20,True,3,,MIT,
42,django-guid,snok/django-guid,django-guid,[],logging,https://github.com/snok/django-guid,https://github.com/snok/django-guid,2019-12-20 10:25:27,2022-08-26 19:08:09,2022-08-26 19:08:06,176,6.0,16,9,63,,19.0,283,2022-05-06 13:06:01,3.3.0,15.0,"Inject an ID into every log message from a Django request. ASGI compatible, integrates with Sentry, and works with..",55.0,55.0,8,https://pypi.org/project/django-guid,36537,36537,19,True,1,-2.0,BSD-3-Clause,
43,django-extra-settings,fabiocaccamo/django-extra-settings,django-extra-settings,[],configuration,https://github.com/fabiocaccamo/django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,2020-02-12 10:59:54,2022-10-25 07:17:23,2022-10-25 07:17:23,129,19.0,16,4,15,1.0,18.0,248,2022-09-27 07:51:14,0.6.1,14.0,config and manage typed extra settings using just the django admin.,31.0,31.0,7,https://pypi.org/project/django-extra-settings,5106,5106,19,True,3,,MIT,
44,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120,,17,7,22,9.0,8.0,214,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,197.0,197.0,11,https://pypi.org/project/django-click,24281,24281,19,True,3,,MIT,
45,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123,1.0,76,31,66,18.0,19.0,187,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,273.0,273.0,32,https://pypi.org/project/django-fsm-admin,123307,123307,19,True,3,,,
46,django-test-plus,revsys/django-test-plus,django-test-plus,[],testing,https://github.com/revsys/django-test-plus,https://github.com/revsys/django-test-plus,2015-05-23 16:08:52,2022-10-12 15:58:54,2022-10-08 04:18:12,456,3.0,56,11,139,5.0,44.0,536,,,,Useful additions to Djangos default TestCase.,,,30,https://pypi.org/project/django-test-plus,54275,54275,18,True,3,,BSD-3-Clause,
47,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662,2.0,46,8,176,6.0,60.0,391,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24,https://pypi.org/project/django-concurrency,20123,20123,17,True,1,,MIT,
48,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,2016-01-28 21:43:35,2022-09-09 02:35:49,2022-04-25 09:05:39,43,,32,12,9,3.0,8.0,365,,,,Keep track of your statistics.,20.0,20.0,6,https://pypi.org/project/django-trackstats,698,698,15,True,1,,MIT,
49,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44,,20,2,8,1.0,4.0,109,,,,Offline optimistic locking for Django.,12.0,12.0,4,https://pypi.org/project/django-optimistic-lock,4288,4288,12,True,3,,BSD-2-Clause,
50,django-fsm-freeze,ming-tung/django-fsm-freeze,django-fsm-freeze,[],finite-state-machine,https://github.com/ming-tung/django-fsm-freeze,https://github.com/ming-tung/django-fsm-freeze,2021-06-11 15:38:15,2022-10-25 09:06:18,2022-10-25 09:06:16,93,8.0,2,2,81,,4.0,4,2021-08-24 14:35:00,0.1.9,9.0,django-fsm data immutability support.,,,3,https://pypi.org/project/django-fsm-freeze,142,142,9,False,3,,MIT,
51,django-locking,debrouwere/django-locking,django-locking,[],concurrent-data-access,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21,,13,4,9,,,136,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3,https://pypi.org/project/django-locking,9,9,7,False,3,,,
