,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,new_addition,updated_github_id,gitlab_id,gitlab_url
87,django-fixture-magic,davedash/django-fixture-magic,django-fixture-magic,[],example-data,https://github.com/davedash/django-fixture-magic,https://github.com/davedash/django-fixture-magic,BSD-3-Clause,2010-03-05 00:50:02,2022-12-28 20:58:48,2021-03-12 05:02:13,120.0,,89.0,8.0,51.0,12.0,23.0,377,,,,Utilities to extract and manipulate Django Fixtures.,141.0,141.0,35.0,https://pypi.org/project/django-fixture-magic,23478.0,23478.0,19,True,3,,,,,,
88,django-oauth2-provider,caffeinehit/django-oauth2-provider,django-oauth2-provider,[],authentication-authorization,https://github.com/caffeinehit/django-oauth2-provider,https://github.com/caffeinehit/django-oauth2-provider,MIT,2012-01-18 17:05:36,2023-02-15 17:55:47,2023-02-03 07:57:29,208.0,,179.0,26.0,92.0,40.0,25.0,338,,,,Provide OAuth2 access to your app.,20.0,20.0,16.0,https://pypi.org/project/django-oauth2-provider,6113.0,6113.0,19,True,3,,,True,,,
89,django-graphql-auth,PedroBern/django-graphql-auth,django-graphql-auth,[],graphql-api,https://github.com/PedroBern/django-graphql-auth,https://github.com/PedroBern/django-graphql-auth,MIT,2020-01-15 16:36:01,2023-05-15 20:51:13,2022-06-17 09:46:13,276.0,,92.0,20.0,60.0,60.0,44.0,316,,,,Django registration and authentication with GraphQL.,611.0,611.0,16.0,https://pypi.org/project/django-graphql-auth,8063.0,8063.0,19,True,3,-2.0,,,,,
90,django-click,GaretJax/django-click,django-click,[],management-commands,https://github.com/GaretJax/django-click,https://github.com/GaretJax/django-click,MIT,2015-09-10 22:48:53,2022-03-17 20:00:04,2022-03-17 20:00:04,120.0,,16.0,7.0,22.0,9.0,8.0,223,2021-09-07 19:36:52,2.3.0,3.0,Write Django management command using the click CLI library.,248.0,248.0,11.0,https://pypi.org/project/django-click,32010.0,32010.0,19,True,3,,,,,,
91,django-fsm-admin,gadventures/django-fsm-admin,django-fsm-admin,[],finite-state-machine,https://github.com/gadventures/django-fsm-admin,https://github.com/gadventures/django-fsm-admin,,2014-03-12 04:43:00,2022-10-25 08:27:00,2022-10-25 08:26:59,123.0,,82.0,30.0,66.0,18.0,20.0,200,,,,Mixin and template tags to integrate django-fsm transitions into the django admin.,321.0,321.0,32.0,https://pypi.org/project/django-fsm-admin,84677.0,84677.0,19,True,3,,,,,,
92,django-loci,openwisp/django-loci,django-loci,[],fields-addresses,https://github.com/openwisp/django-loci,https://github.com/openwisp/django-loci,BSD-3-Clause,2017-11-12 15:46:45,2023-07-06 17:36:27,2023-07-06 17:36:25,255.0,4.0,36.0,12.0,77.0,2.0,38.0,172,2022-04-20 19:29:39,1.0.1,15.0,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,9.0,9.0,28.0,https://pypi.org/project/django-loci,455.0,455.0,19,True,3,,,,,,
93,django-ninja-extra,eadwinCode/django-ninja-extra,django-ninja-extra,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,MIT,2021-06-17 09:58:17,2023-07-31 17:22:46,2023-07-31 17:22:45,434.0,20.0,16.0,10.0,45.0,4.0,18.0,166,2023-06-14 13:32:03,0.19.1,24.0,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,,,9.0,https://pypi.org/project/django-ninja-extra,15712.0,15712.0,19,True,2,,,,,,
94,django-mapbox-location-field,Simon-the-Shark/django-mapbox-location-field,django-mapbox-location-field,[],fields-addresses,https://github.com/simon-the-shark/django-mapbox-location-field,https://github.com/simon-the-shark/django-mapbox-location-field,MIT,2019-06-26 09:38:13,2022-08-26 07:34:52,2022-04-07 16:47:43,200.0,,22.0,5.0,12.0,2.0,22.0,63,2022-03-01 22:09:58,2.0.0,22.0,"Simple in use location model and form field with MapInput widget for picking some location. Uses mapbox gl js,..",287.0,287.0,8.0,https://pypi.org/project/django-mapbox-location-field,1082.0,1082.0,19,True,3,,,,,,
95,django-bulma,timonweb/django-bulma,django-bulma,[],mvt-css-framework-integration,https://github.com/timonweb/django-bulma,https://github.com/timonweb/django-bulma,MIT,2017-08-16 16:10:14,2023-03-04 04:33:09,2021-10-21 13:54:53,128.0,,52.0,15.0,38.0,4.0,37.0,331,,,,Bulma theme for Django.,451.0,451.0,14.0,https://pypi.org/project/django-bulma,2104.0,2104.0,18,True,3,,,,,,
96,django-admin-numeric-filter,lukasvinclav/django-admin-numeric-filter,django-admin-numeric-filter,[],admin-interface-filters,https://github.com/lukasvinclav/django-admin-numeric-filter,https://github.com/lukasvinclav/django-admin-numeric-filter,MIT,2018-08-10 10:21:18,2023-02-16 07:53:41,2023-02-16 07:53:37,60.0,,32.0,4.0,16.0,3.0,13.0,69,2023-02-16 07:52:21,0.1.9,3.0,Numeric filters for Django admin.,156.0,156.0,14.0,https://pypi.org/project/django-admin-numeric-filter,14332.0,14332.0,18,True,1,,,,,,
