,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,updated_github_id,github_release_downloads,trending,gitlab_id,gitlab_url
82,django-tailwind,https://github.com/timonweb/django-tailwind,,[],mvt-tailwind-css-framework-integration,Django + Tailwind CSS =.,28,True,timonweb/django-tailwind,django-tailwind,https://github.com/timonweb/django-tailwind,MIT,2019-04-11 19:49:28,2025-07-31 07:42:45,2025-07-31 07:42:44,359.0,29.0,103.0,16.0,59.0,3.0,167.0,1621.0,,,,6854.0,6854.0,22.0,https://pypi.org/project/django-tailwind,198066.0,198066.0,1.0,,,,,
83,eventsourcing,https://github.com/pyeventsourcing/eventsourcing,,[],event-sourcing,A library for event sourcing in Python.,28,True,pyeventsourcing/eventsourcing,eventsourcing,https://github.com/pyeventsourcing/eventsourcing,BSD-3-Clause,2015-08-25 13:35:28,2025-06-05 18:34:03,2025-06-05 18:33:58,5300.0,202.0,134.0,37.0,196.0,2.0,99.0,1568.0,,,,194.0,194.0,28.0,https://pypi.org/project/eventsourcing,32020.0,32020.0,1.0,,,,,
84,django-cachalot,https://github.com/noripyt/django-cachalot,,[],caching,"No effort, no worry, maximum performance.",28,True,noripyt/django-cachalot,django-cachalot,https://github.com/noripyt/django-cachalot,BSD-3-Clause,2014-09-26 13:08:06,2025-04-17 00:04:30,2025-04-17 00:04:01,651.0,,148.0,24.0,100.0,29.0,143.0,1367.0,2025-04-17 00:04:30,2.8.0,24.0,974.0,974.0,39.0,https://pypi.org/project/django-cachalot,130527.0,130527.0,3.0,,,,,
85,django-configurations,https://github.com/jazzband/django-configurations,,[],configuration,A helper for organizing Django project settings by relying on well established programming patterns.,28,True,jazzband/django-configurations,django-configurations,https://github.com/jazzband/django-configurations,BSD-3-Clause,2012-07-21 13:56:20,2024-11-18 23:53:14,2024-11-18 23:53:09,512.0,,141.0,21.0,195.0,55.0,156.0,1128.0,2023-11-30 10:00:09,2.5.1,11.0,3339.0,3339.0,74.0,https://pypi.org/project/django-configurations,261513.0,261513.0,3.0,,,,,
86,django-ses,https://github.com/django-ses/django-ses,,[],emails,A Django email backend for Amazons Simple Email Service.,28,True,django-ses/django-ses,django-ses,https://github.com/django-ses/django-ses,MIT,2011-01-25 19:41:40,2025-06-10 14:08:50,2025-06-10 14:08:42,388.0,3.0,218.0,16.0,203.0,49.0,101.0,1061.0,2024-11-26 19:17:50,4.3.0,52.0,3509.0,3509.0,84.0,https://pypi.org/project/django-ses,780163.0,780163.0,2.0,,,,,
87,django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,,[],graphql-api,JSON Web Token (JWT) authentication for Graphene Django.,28,True,flavors/django-graphql-jwt,django-graphql-jwt,https://github.com/flavors/django-graphql-jwt,MIT,2017-11-05 15:29:56,2023-12-20 11:55:00,2023-08-04 09:45:28,555.0,,155.0,14.0,102.0,63.0,171.0,822.0,2023-08-04 09:46:09,0.4.0,27.0,5599.0,5599.0,26.0,https://pypi.org/project/django-graphql-jwt,120422.0,120422.0,3.0,,,,,
88,django-structlog,https://github.com/jrobichaud/django-structlog,,[],logging,Structured Logging for Django.,28,True,jrobichaud/django-structlog,django-structlog,https://github.com/jrobichaud/django-structlog,MIT,2019-04-07 21:29:34,2025-07-30 13:23:47,2025-07-30 13:18:50,2011.0,91.0,36.0,5.0,806.0,,72.0,484.0,,,,904.0,904.0,24.0,https://pypi.org/project/django-structlog,865690.0,865690.0,3.0,,,,,
89,django-bootstrap5,https://github.com/zostera/django-bootstrap5,,[],mvt-bootstrap-css-framework-integration,Bootstrap 5 for Django.,28,True,zostera/django-bootstrap5,django-bootstrap5,https://github.com/zostera/django-bootstrap5,BSD-3-Clause,2021-03-15 13:32:45,2025-07-30 12:33:32,2025-07-30 06:16:50,1495.0,13.0,87.0,14.0,654.0,36.0,71.0,433.0,,,,9880.0,9880.0,151.0,https://pypi.org/project/django-bootstrap5,216208.0,216208.0,3.0,,,,,
90,django-grappelli,https://github.com/sehmaschine/django-grappelli,,[],admin-interface,A jazzy skin for the Django Admin-Interface (official repository).,27,True,sehmaschine/django-grappelli,django-grappelli,https://github.com/sehmaschine/django-grappelli,,2010-03-26 12:25:59,2025-04-28 13:57:24,2025-04-28 13:49:07,1960.0,,639.0,87.0,336.0,7.0,725.0,3882.0,,,,6863.0,6863.0,91.0,https://pypi.org/project/django-grappelli,230652.0,230652.0,3.0,,,,,
91,django-tenant-schemas,https://github.com/bernardopires/django-tenant-schemas,,[],multiple-tenants,Tenant support for Django using PostgreSQL schemas.,27,True,bernardopires/django-tenant-schemas,django-tenant-schemas,https://github.com/bernardopires/django-tenant-schemas,MIT,2012-06-23 10:54:34,2023-11-01 13:33:35,2023-07-02 19:48:20,637.0,,398.0,65.0,229.0,147.0,330.0,1485.0,2023-08-27 13:05:42,1.12.0,2.0,476.0,476.0,75.0,https://pypi.org/project/django-tenant-schemas,16894.0,16894.0,2.0,,,,,
92,django-organizations,https://github.com/bennylope/django-organizations,,[],authentication-authorization,Multi-user accounts for Django projects.,27,True,bennylope/django-organizations,django-organizations,https://github.com/bennylope/django-organizations,BSD-2-Clause,2012-02-02 02:38:49,2025-06-10 13:12:18,2025-06-10 12:56:06,755.0,1.0,211.0,36.0,117.0,13.0,138.0,1329.0,2024-10-28 18:53:47,2.5.0,20.0,314.0,314.0,49.0,https://pypi.org/project/django-organizations,111922.0,111922.0,2.0,,,,,
93,django-ratelimit,https://github.com/jsocol/django-ratelimit,,[],authentication-authorization,Cache-based rate-limiting for Django.,27,True,jsocol/django-ratelimit,django-ratelimit,https://github.com/jsocol/django-ratelimit,,2011-05-20 23:05:29,2024-07-11 18:32:53,2023-12-05 19:30:12,317.0,,181.0,17.0,160.0,27.0,125.0,1123.0,2023-07-24 20:36:04,4.1.0,2.0,4217.0,4217.0,51.0,https://pypi.org/project/django-ratelimit,948202.0,948202.0,2.0,,,,,
