,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
93,mixer,klen/mixer,mixer,[],example-data,https://github.com/klen/mixer,https://github.com/klen/mixer,,2013-05-19 13:49:50,2023-05-12 15:43:21,2022-03-23 14:37:36,860.0,,90.0,12.0,107.0,36.0,49.0,899,,,,"Mixer -- Is a fixtures replacement. Supported Django, Flask, SqlAlchemy and custom python objects.",,,43.0,https://pypi.org/project/mixer,102934.0,102934.0,17,True,3,,,,,
94,django-sendsms,stefanfoulis/django-sendsms,django-sendsms,[],messaging,https://github.com/stefanfoulis/django-sendsms,https://github.com/stefanfoulis/django-sendsms,MIT,2011-08-10 06:40:48,2022-01-25 15:52:14,2021-12-27 22:42:18,132.0,,95.0,14.0,37.0,5.0,19.0,248,,,,A simple API to send SMS messages. It is modeled after the django email api.,328.0,328.0,19.0,https://pypi.org/project/django-sendsms,3175.0,3175.0,17,True,2,,,,,
95,django-audit-log,vvangelovski/django-audit-log,django-audit-log,[],fields-versioning,https://github.com/vvangelovski/django-audit-log,https://github.com/vvangelovski/django-audit-log,,2011-02-25 12:40:16,2022-12-26 07:34:28,2018-03-12 09:11:28,102.0,,81.0,8.0,30.0,27.0,16.0,230,2015-01-23 12:59:33,0.6.0,2.0,Audit log for your Django models.,233.0,233.0,10.0,https://pypi.org/project/django-audit-log,1961.0,1961.0,17,False,3,,,,,
96,django-mirage-field,luojilab/django-mirage-field,django-mirage-field,[],encrpyted-fields,https://github.com/luojilab/django-mirage-field,https://github.com/luojilab/django-mirage-field,MIT,2019-04-26 06:02:43,2022-04-19 11:01:05,2022-04-19 11:00:59,71.0,,13.0,15.0,13.0,,12.0,87,2022-03-14 08:47:26,1.4.0,17.0,"Django model field encrypt/decrypt your data, keep secret in database.",62.0,62.0,9.0,https://pypi.org/project/django-mirage-field,10787.0,10787.0,17,True,2,,,,,
97,django-sms,roaldnefs/django-sms,django-sms,[],messaging,https://github.com/roaldnefs/django-sms,https://github.com/roaldnefs/django-sms,BSD-3-Clause,2021-01-12 18:16:13,2023-05-26 20:39:13,2022-12-25 14:29:04,30.0,,12.0,2.0,22.0,5.0,8.0,41,2022-12-15 08:18:36,0.6.0,6.0,A Django app for sending SMS with interchangeable backends.,151.0,151.0,3.0,https://pypi.org/project/django-sms,3194.0,3194.0,16,True,3,,,,,
98,django-trackstats,pennersr/django-trackstats,django-trackstats,[],statistics,https://github.com/pennersr/django-trackstats,https://github.com/pennersr/django-trackstats,MIT,2016-01-28 21:43:35,2023-03-27 09:40:43,2023-03-27 09:39:44,59.0,10.0,34.0,14.0,11.0,3.0,8.0,400,,,,Keep track of your statistics.,22.0,22.0,8.0,https://pypi.org/project/django-trackstats,837.0,837.0,15,True,1,,,,,
99,django-scopes,raphaelm/django-scopes,django-scopes,[],multiple-tenants,https://github.com/raphaelm/django-scopes,https://github.com/raphaelm/django-scopes,Apache-2.0,2019-05-10 11:27:07,2023-04-08 19:56:58,2023-04-08 19:56:44,41.0,2.0,16.0,11.0,14.0,9.0,5.0,190,,,,Safely separate multiple tenants in a Django database.,50.0,50.0,6.0,https://pypi.org/project/django-scopes,3632.0,3632.0,15,True,3,,,,,
100,django-fieldsignals,craigds/django-fieldsignals,django-fieldsignals,[],fields-versioning,https://github.com/craigds/django-fieldsignals,https://github.com/craigds/django-fieldsignals,,2011-02-03 11:28:50,2022-10-08 02:34:47,2022-10-08 02:33:46,69.0,,11.0,8.0,8.0,3.0,14.0,109,2021-08-16 05:08:47,0.7.0,8.0,Django signals for changed fields.,173.0,173.0,5.0,https://pypi.org/project/django-fieldsignals,12066.0,12066.0,15,True,3,,,,,
101,django-admin-confirm,trangpham/django-admin-confirm,django-admin-confirm,[],admin-interface-actions,https://github.com/TrangPham/django-admin-confirm,https://github.com/TrangPham/django-admin-confirm,,2020-11-08 18:56:53,2023-05-20 17:48:03,2023-03-29 17:08:35,69.0,1.0,11.0,4.0,25.0,6.0,17.0,100,2022-07-08 03:39:24,1.0.0,8.0,"AdminConfirmMixin is a mixin for ModelAdmin that adds confirmations to changes, additions and actions.",23.0,23.0,6.0,https://pypi.org/project/django-admin-confirm,15762.0,15762.0,14,True,3,,,,,
102,pyngo,yezz123/pyngo,pyngo,[],pydantic-integration,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2023-05-30 19:13:46,2023-05-30 19:13:44,88.0,25.0,5.0,1.0,59.0,,1.0,53,2023-04-02 19:16:11,1.6.0,7.0,Pydantic model support for Django & Django-Rest-Framework.,2.0,2.0,5.0,https://pypi.org/project/pyngo,4516.0,4516.0,14,True,3,,,,,
103,django-cryptographic-fields,foundertherapy/django-cryptographic-fields,django-cryptographic-fields,[],encrpyted-fields,https://github.com/foundertherapy/django-cryptographic-fields,https://github.com/foundertherapy/django-cryptographic-fields,MIT,2015-04-29 22:49:48,2021-11-10 12:49:34,2016-09-27 23:25:27,34.0,,26.0,12.0,16.0,9.0,2.0,27,2016-09-23 16:28:37,0.5.0,3.0,A set of fields that wrap standard Django fields with encryption provided by the python cryptography library.,18.0,18.0,8.0,https://pypi.org/project/django-cryptographic-fields,363.0,363.0,14,False,3,,,,,
104,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],locking,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,21.0,2.0,8.0,1.0,4.0,113,,,,Offline optimistic locking for Django.,12.0,12.0,4.0,https://pypi.org/project/django-optimistic-lock,4816.0,4816.0,13,True,3,,,,,
105,django-ninja-passwordreset,eadwinCode/django-ninja-passwordreset,django-ninja-passwordreset,[],restful-api-ninja,https://github.com/eadwinCode/django-ninja-passwordreset,https://github.com/eadwinCode/django-ninja-passwordreset,BSD-3-Clause,2021-11-20 21:37:41,2023-04-25 19:24:16,2023-04-25 18:11:25,163.0,11.0,1.0,1.0,2.0,,,3,2023-04-25 19:24:16,1.2.4,2.0,"An extension of django rest framework, providing a configurable password reset strategy.",,,34.0,https://pypi.org/project/django-ninja-passwordreset,65.0,65.0,13,False,3,,,,,
