,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
136,django-click,https://github.com/django-commons/django-click,,[],management-commands,Write Django management command using the click CLI library.,24,True,GaretJax/django-click,django-click,https://github.com/django-commons/django-click,MIT,2015-09-10 22:48:53,2025-11-10 20:10:44,2025-11-10 20:10:43,172.0,29.0,21.0,5.0,45.0,10.0,10.0,287.0,2025-02-27 13:17:47,2.4.1,,64767.0,11.0,356.0,356.0,13.0,https://pypi.org/project/django-click,64767.0,3.0,3.0,django-commons/django-click,,
137,django-fsm-log,https://github.com/jazzband/django-fsm-log,,[],finite-state-machine,Automatic logging for Django FSM.,24,True,jazzband/django-fsm-log,django-fsm-log,https://github.com/jazzband/django-fsm-log,MIT,2013-10-30 03:15:55,2025-11-24 17:35:22,2025-06-11 12:38:32,407.0,,76.0,7.0,176.0,12.0,37.0,248.0,2025-06-11 12:39:23,4.0.5,,77063.0,16.0,162.0,162.0,28.0,https://pypi.org/project/django-fsm-log,77063.0,2.0,,,,
138,django-minio-storage,https://github.com/py-pa/django-minio-storage,,[],storage,A django storage driver for minio.,24,True,py-pa/django-minio-storage,django-minio-storage,https://github.com/py-pa/django-minio-storage,MIT,2016-07-11 10:36:18,2025-11-24 19:55:55,2025-11-24 19:33:24,241.0,4.0,55.0,8.0,78.0,10.0,76.0,163.0,2025-11-24 18:33:30,0.5.9,,29825.0,10.0,387.0,387.0,18.0,https://pypi.org/project/django-minio-storage,29825.0,3.0,,,,
139,CISO Assistant (Community Edition),https://github.com/intuitem/ciso-assistant-community,,[],grc-framework,"CISO Assistant is a one-stop-shop for GRC, covering Risk, AppSec, Compliance/Audit Management, Privacy and supporting..",23,True,intuitem/ciso-assistant-community,,https://github.com/intuitem/ciso-assistant-community,,2023-09-20 16:47:58,2025-11-30 19:22:11,2025-11-29 14:34:01,6513.0,355.0,532.0,40.0,2347.0,87.0,440.0,3379.0,2025-11-29 17:19:00,3.7.2,,,100.0,,,76.0,,,1.0,,,,
140,viewflow,https://github.com/viewflow/viewflow,,[],finite-state-machine,Reusable workflow library for Django.,23,True,viewflow/viewflow,viewflow,https://github.com/viewflow/viewflow,AGPL-3.0,2013-09-10 10:16:35,2025-11-24 17:05:45,2025-11-24 17:05:38,217.0,4.0,410.0,102.0,106.0,19.0,345.0,2842.0,2024-04-09 05:47:09,2.0.0,,347.0,3.0,365.0,365.0,2.0,https://pypi.org/project/viewflow,347.0,3.0,,,,
141,django-restql,https://github.com/yezyilomo/django-restql,,[],restful-api-drf,Turn your API made with Django REST Framework(DRF) into a GraphQL like API.,23,True,yezyilomo/django-restql,django-restql,https://github.com/yezyilomo/django-restql,MIT,2019-04-06 21:53:41,2025-08-13 12:32:56,2025-08-13 12:31:33,756.0,,44.0,16.0,225.0,25.0,89.0,627.0,2025-07-05 15:09:27,0.17.0,,37617.0,45.0,332.0,332.0,6.0,https://pypi.org/project/django-restql,37617.0,3.0,,,,
142,django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,,[],configuration,config and manage typed extra settings using just the django admin.,23,True,fabiocaccamo/django-extra-settings,django-extra-settings,https://github.com/fabiocaccamo/django-extra-settings,MIT,2020-02-12 10:59:54,2025-12-01 00:15:19,2025-09-30 22:09:50,350.0,8.0,32.0,8.0,156.0,5.0,36.0,609.0,2025-09-04 21:34:28,0.14.1,,34761.0,25.0,114.0,114.0,13.0,https://pypi.org/project/django-extra-settings,34761.0,3.0,,,,
143,django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,,[],restful-api-ninja,Django Ninja Extra - Class-Based Utility and more for Django Ninja(Fast Django REST framework).,23,True,eadwinCode/django-ninja-extra,django-ninja-extra,https://github.com/eadwinCode/django-ninja-extra,MIT,2021-06-17 09:58:17,2025-11-22 11:16:34,2025-11-22 11:15:08,857.0,37.0,48.0,9.0,194.0,18.0,86.0,539.0,2025-11-22 11:15:48,0.30.6,,176442.0,58.0,,,27.0,https://pypi.org/project/django-ninja-extra,176442.0,2.0,,,,
144,django-concurrency,https://github.com/saxix/django-concurrency,,[],locking,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,23,True,saxix/django-concurrency,django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2025-09-18 17:56:05,2025-07-20 13:21:20,716.0,,51.0,8.0,184.0,1.0,76.0,462.0,2025-04-03 17:26:46,2.7,,108720.0,5.0,214.0,214.0,27.0,https://pypi.org/project/django-concurrency,108720.0,1.0,,,,
145,django-mailbox,https://github.com/coddingtonbear/django-mailbox,,[],emails,"Import mail from POP3, IMAP, local email mailboxes or directly from Postfix or Exim4 into your Django application..",23,True,coddingtonbear/django-mailbox,django-mailbox,https://github.com/coddingtonbear/django-mailbox,MIT,2012-06-27 15:58:50,2025-06-20 05:07:51,2025-06-20 05:07:51,552.0,,159.0,21.0,135.0,21.0,142.0,378.0,,,,18486.0,,230.0,230.0,55.0,https://pypi.org/project/django-mailbox,18486.0,3.0,,,,
146,django-authtools,https://github.com/fusionbox/django-authtools,,[],custom-user,A custom User model for everybody!.,23,True,fusionbox/django-authtools,django-authtools,https://github.com/fusionbox/django-authtools,BSD-2-Clause,2013-05-20 23:19:33,2025-09-29 15:22:56,2025-09-29 15:22:52,255.0,7.0,94.0,28.0,74.0,8.0,47.0,373.0,,,,18142.0,,1012.0,1012.0,33.0,https://pypi.org/project/django-authtools,18142.0,1.0,,,,
147,lagom,https://github.com/meadsteve/lagom,,[],dependency-injection,Autowiring dependency injection container for python 3.,23,True,meadsteve/lagom,lagom,https://github.com/meadsteve/lagom,MIT,2019-06-01 13:54:42,2025-07-28 13:55:43,2025-07-28 13:55:43,446.0,,20.0,4.0,128.0,28.0,116.0,336.0,2025-07-16 11:02:12,2.7.6,,221248.0,25.0,480.0,480.0,13.0,https://pypi.org/project/lagom,221248.0,2.0,,,,
148,django-loci,https://github.com/openwisp/django-loci,,[],fields-addresses,Reusable Django app for storing geographic and indoor coordinates. Maintained by the OpenWISP Project.,23,True,openwisp/django-loci,django-loci,https://github.com/openwisp/django-loci,BSD-3-Clause,2017-11-12 15:46:45,2025-11-07 12:23:29,2025-10-30 11:33:08,331.0,13.0,45.0,9.0,146.0,2.0,44.0,186.0,2025-10-23 15:48:48,1.2.0,,4623.0,21.0,15.0,15.0,32.0,https://pypi.org/project/django-loci,4623.0,2.0,,,,
149,django-tailwind-cli,https://github.com/django-commons/django-tailwind-cli,,[],mvt-tailwind-css-framework-integration,Django and Tailwind integration based on the prebuilt Tailwind CSS CLI.,23,True,oliverandrich/django-tailwind-cli,django-tailwind-cli,https://github.com/django-commons/django-tailwind-cli,MIT,2022-10-23 16:09:40,2025-11-24 23:07:24,2025-11-16 18:29:29,540.0,18.0,18.0,3.0,133.0,2.0,40.0,179.0,2025-09-23 15:07:50,4.4.2,123.0,9354.0,24.0,75.0,75.0,16.0,https://pypi.org/project/django-tailwind-cli,9346.0,3.0,,django-commons/django-tailwind-cli,,
150,wemake-django-template,https://github.com/wemake-services/wemake-django-template,,[],reusable-app-templates,Bleeding edge django template focused on code quality and security.,22,True,wemake-services/wemake-django-template,,https://github.com/wemake-services/wemake-django-template,MIT,2017-09-14 09:23:23,2025-11-24 22:57:04,2025-11-24 22:57:03,2758.0,43.0,221.0,34.0,2354.0,23.0,525.0,2155.0,2023-09-05 07:57:33,goodbye-3.9,,,3.0,,,56.0,,,1.0,,,,
151,vulnerablecode,https://github.com/aboutcode-org/vulnerablecode,,[],vulnerability-database,A free and open vulnerabilities database and the packages they impact. And the tools to aggregate and correlate these..,22,True,aboutcode-org/vulnerablecode,vulnerablecode,https://github.com/aboutcode-org/vulnerablecode,Apache-2.0,2017-05-19 07:56:17,2025-11-28 13:46:25,2025-11-25 18:58:44,2841.0,32.0,245.0,20.0,843.0,676.0,507.0,640.0,2025-07-08 12:11:44,36.1.3,532.0,90.0,51.0,,,51.0,https://pypi.org/project/vulnerablecode,82.0,1.0,,,,
152,kink,https://github.com/kodemore/kink,,[],dependency-injection,Dependency injection container made for Python.,22,True,kodemore/kink,kink,https://github.com/kodemore/kink,MIT,2019-12-25 20:57:36,2025-10-18 18:19:26,2025-10-18 18:19:26,100.0,1.0,28.0,8.0,43.0,7.0,21.0,436.0,2024-10-19 09:57:33,0.8.1,,134155.0,24.0,266.0,266.0,15.0,https://pypi.org/project/kink,134155.0,3.0,,,,
153,wireup,https://github.com/maldoinc/wireup,,[],dependency-injection,"Performant, concise, and easy-to-use dependency injection container for Python 3.8+.",22,True,maldoinc/wireup,wireup,https://github.com/maldoinc/wireup,MIT,2023-08-19 22:09:32,2025-11-12 22:13:29,2025-11-12 22:13:25,797.0,34.0,17.0,5.0,27.0,14.0,48.0,332.0,2025-09-28 16:55:31,2.1.0,,21837.0,31.0,25.0,25.0,10.0,https://pypi.org/project/wireup,21837.0,3.0,,,,
154,django-google-maps,https://github.com/madisona/django-google-maps,,[],fields-addresses,Using the Google Maps API with django model admin.,22,True,madisona/django-google-maps,django-google-maps,https://github.com/madisona/django-google-maps,BSD-2-Clause,2010-12-31 14:47:45,2025-09-21 14:15:10,2025-09-21 14:13:24,92.0,5.0,96.0,17.0,56.0,12.0,35.0,282.0,2025-09-21 14:15:10,0.14.0,,25132.0,4.0,693.0,693.0,20.0,https://pypi.org/project/django-google-maps,25132.0,3.0,,,,
155,django-slack,https://github.com/lamby/django-slack,,[],messaging,"Slack integration for Django, using the templating engine to generate messages.",22,True,lamby/django-slack,django-slack,https://github.com/lamby/django-slack,BSD-3-Clause,2014-12-10 20:34:18,2025-07-11 19:49:42,2025-07-11 19:49:42,275.0,,56.0,6.0,56.0,9.0,54.0,244.0,,,,130478.0,,464.0,464.0,30.0,https://pypi.org/project/django-slack,130478.0,1.0,,,,
